"colonia","calle","No.Casa","C.P.","Ciudad"
"JARDINES DE LA PAZ","TEJEDORES",569,44860,"Guadalajara"
"RANCHO NUEVO","DOMINGO RAMIRE",1150,44240,"Guadalajara"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"AYUNTAMIENTO","BERNARDO DE BAL",1170,44620,"Guadalajara"
"PRADOS TEPEYAC","PRADO DE LAS GA",4468,45050,"zapopan"
"PASEOS DEL BRISE#O","PASEOS DE LOS I",1,45236,"zapopan"
"SAN ISIDRO EJIDAL","NUEVO MEXICO",250,45147,"zapopan"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"LOMAS DE MIRAMAR","URANIO",31,45060,"zapopan"
"HERMOSA PROVIN ZO TE","TELEFONISTAS",3331,44770,"Guadalajara"
"NUEVO MEXICO","6 DE ENERO",3239,45138,"zapopan"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"FRACC, LOS MOLINOS","CTO OBSIDIANA",39,45200,"zapopan"
"LOMAS DEL REFUGIO","AGUA PRIETA",111,45186,"zapopan"
"VILLA FONTANA DIAMANTE","AV LAS TORRES",1896,45200,"zapopan"
"VALLE REAL","AV RAMON CORONA",2748,45019,"zapopan"
"REAL DE VALDEPE?S","ALAMBIQUE",51,45130,"zapopan"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"MIRAVALLE","JOSE JARAMILLO",526,44990,"Guadalajara"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"MESA COLORADA PTE","DELLI",1825,45189,"zapopan"
"LA CAMPESINA","JOSE MARIA SARM",1488,44769,"Guadalajara"
"EL BRISE#O","CONSTELACION",7,45236,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"MIRAVALLE","MAURICIO CAMPOS",512,44990,"Guadalajara"
"BUGAMBILIAS","PASEO DE LA VIC",4952,45238,"zapopan"
"ARENALES TAPATIOS","DIAMANTE",114,45066,"zapopan"
"MESA DE LOS OCOTES","BETABEL",23,45189,"zapopan"
"OBLATOS","BATALLA DE IZUC",2508,44700,"Guadalajara"
"REAL QUINTAS DEL VALLE","CIRCUITO REAL S",0,45138,"zapopan"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"RESIDENCIAL GUADALUP","MISION SAN PATR",350,45030,"zapopan"
"LA MARTINICA","PASEO DE LOS AL",79,45185,"zapopan"
"LOMAS DE MIRAMAR","PUERTO TAMPICO",80,45060,"zapopan"
"18 DE MARZO","NATIVIDAD MACIA",1326,44960,"Guadalajara"
"JARDINES DE LOS POET","JOSE FERNANDEZ",3365,44820,"Guadalajara"
"HELIODORO HERNANDEZ","CELIA PACHECO",3713,44720,"Guadalajara"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"U H ATLAS","RIO VOLGA",1386,44870,"Guadalajara"
"CAMPO REAL","AV CAMPO REAL P",353,45134,"zapopan"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"JARDINES  DEL BOSQUE","PLACERES",806,44520,"zapopan"
"MARAVILLA","MESA DEL NORTE",1272,44700,"Guadalajara"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"TETLAN","GIGANTES",108,44820,"Guadalajara"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"JARDINES DEL COUNTRY","ENRIQUE DIAZ DE",2336,44210,"Guadalajara"
"IXTLAHUACAN DEL RIO","HDA SAN MIGUEL",10,45260,"zapopan"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"BLANCO Y CUELLAR","EMILIO RABAZA",2132,44730,"Guadalajara"
"DIVISION DEL NORTE","BENEDICTO LOPEZ",399,44230,"Guadalajara"
"EL MIRADOR","EMILIANO ZAPATA",780,44370,"Guadalajara"
"HELIODORO HERNANDEZ","MIGUEL SANCHEZ",3789,44720,"Guadalajara"
"TRANSITO","AV CIRCUNVALANC",479,44298,"Guadalajara"
"PASEOS DEL SOL","TOMAS BALCAZAR",5404,45079,"zapopan"
"HDA SAN ISIDRO","EJIDO",570,45147,"zapopan"
"OBLATOS PONIENTE","HACIENDA LA GAV",3208,44700,"Guadalajara"
"MEZQUITAN COUNTRY","DIAGONAL NAJERA",1876,44260,"Guadalajara"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"PENAL","PEDRO CELESTINO",482,44730,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN FUJIYAMA",4413,44250,"Guadalajara"
"BALCONES DE OBLATOS","HACIENDA DEL CA",2275,44720,"Guadalajara"
"VILLA FONTANA DIAMANTE","AV JADE",86,45200,"zapopan"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"UNIDAD MEXICO","CDA QUERETARO",278,45120,"zapopan"
"REAL DE VALDEPE?S","CALLE G 1470 TO",1470,45130,"zapopan"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"BOSQUES D L VICTORIA","FAUNA",2765,44540,"Guadalajara"
"VIRREYES RESIDENCIAL","AV NACIONES UNI",6904,45110,"zapopan"
"LA AURORA","SALVADOR LOPEZ",1750,44790,"Guadalajara"
"FRACC CUSPIDE","VALLE DE TESIST",198,45200,"zapopan"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",5430,45116,"zapopan"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN VIRGEN",182,44250,"Guadalajara"
"DIVISION DL NTE ZAP","FRANCISCO VILLA",27,45180,"zapopan"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"LOMAS DE MIRAMAR","PUERTO CHAMELA",314,45060,"zapopan"
"BEATRIZ HERNANDEZ","MARGARITA GUTIE",3497,44760,"Guadalajara"
"COLLY SITIO","ROMANA",6570,45036,"zapopan"
"OBLATOS PONIENTE","HACIENDA DE TAL",2191,44700,"Guadalajara"
"INF LA TUZANIA","AV DE LAS PALME",1246,45138,"zapopan"
"5 DE MAYO","RAMON MARQUEZ",362,44970,"Guadalajara"
"SAN VICENTE","MONTES MARCIANO",2173,44330,"Guadalajara"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"FEDERALISMO","MONTE HIMALAYA",1416,44350,"Guadalajara"
