"colonia","calle","No.Casa","C.P.","Ciudad"
"REAL QUINTAS DEL VALLE","CIRCUITO REAL S",0,45138,"zapopan"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"GARIBAY","DAMASCO",785,44750,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3308,45085,"zapopan"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"BATALLON SN PATRICIO","CALZADA INDEPEN",503,44300,"Guadalajara"
"EL CENTINELA 2","HIDALGO",310,45187,"zapopan"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"1RO DE MAYO 1A SECCI","CARLOS A CARRIL",527,44970,"Guadalajara"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"LOMAS DL VALLE VI UN","CANCER",3992,45129,"zapopan"
"TABACHINES","PASEO DE LOS AV",3101,45188,"zapopan"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"AGRICOLA","DALIA",138,45236,"zapopan"
"MORELOS","CISNE",1332,44910,"Guadalajara"
"UNIDAD MEXICO","CDA QUERETARO",278,45120,"zapopan"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"VISTA HERMOSA","VISTA BONITA",739,45189,"zapopan"
"SAN CARLOS","LOS ANGELES",171,44460,"Guadalajara"
"RNDA DE PAZ","ALBANILES",543,44860,"Guadalajara"
"JARDINES DEL COUNTRY","ENRIQUE DIAZ DE",2336,44210,"Guadalajara"
"SANTA TERESITA","ALFREDO CHAVERO",16,44600,"Guadalajara"
"RINCONADA DEL BOSQUE","AV ECONOMOS",6951,44510,"Guadalajara"
"LA AURORA","SALVADOR LOPEZ",1750,44790,"Guadalajara"
"PARAISOS DEL COLLY","GALEANA",1068,45069,"zapopan"
"GENERAL REAL","MARCONI",17,44400,"Guadalajara"
"MARAVILLA","HACIENDA DE GUA",1124,44700,"Guadalajara"
"AGRICOLA","OBELISCO",138,45236,"zapopan"
"BARRANQUITAS","PINO SUAREZ",879,44270,"Guadalajara"
"ARENALES TAPATIOS","DIAMANTE",114,45066,"zapopan"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"LAS AGUILAS","RIO TOMATLAN",800,45080,"zapopan"
"U H EL SAUZ INF","JAIME TORRES B",3090,44987,"Guadalajara"
"LOMAS DL PARAISO 1","RAFAEL CARDENAS",290,44250,"Guadalajara"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"BLANCO Y CUELLAR","EMILIO RABAZA",2132,44730,"Guadalajara"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"VILLA UNIVESITARIA","AV PATRIA",1446,45110,"zapopan"
"LADRON DE GUEVARA","FRAY LUIS DE PA",443,44600,"Guadalajara"
"COLINAS DEL REY","AV TORREMOLINOS",3500,45130,"zapopan"
"CONJ LOMAS ALTAS","PASEO DEL ARCO",4098,45128,"zapopan"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"JARDINES DE STA ISAB","STA MARTHA",3165,44300,"Guadalajara"
"TETLAN","JOSE RAMOS",4342,44820,"Guadalajara"
"ZALATE II","OTILIO GONZALEZ",1116,44760,"Guadalajara"
"VALENTIN GOMEZ FARIA","CANUTO ELIAS",3414,44977,"Guadalajara"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"HOGARES GUADALAJARA","CIRCUNVALACION",258,44340,"Guadalajara"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"FRACC JARDINES DE BELEN","TORONJA",41,45200,"zapopan"
"LOMAS DE RIO VERDE","DEMOSTENES",3550,44720,"Guadalajara"
"INF LA TUZANIA","AND OYAMELES",1124,45138,"zapopan"
"BOSQUE ESCONDIDO","PASEO DE LOS AL",10,45180,"zapopan"
"LA PALMITA","MANUEL GONZALEZ",518,45180,"zapopan"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"ZONA INDUSTRIAL SUR","CALLE 16",2526,44940,"Guadalajara"
"HDA SAN ISIDRO","LA VILLA",455,45147,"zapopan"
