"colonia","calle","No.Casa","C.P.","Ciudad"
"SANTA ANA TEPETITLAN","HIDALGO",35,45230,"zapopan"
"TABACHINES","PASEO DE LOS AV",3101,45188,"zapopan"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"SANTA TERESITA","ALFREDO CHAVERO",16,44600,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"LAGOS D OTE ZONA TET","LICURGO",336,44770,"Guadalajara"
"FRACC HACIENDA LAS PALOMAS","CALLE DEL AGUA",365,45200,"zapopan"
"SAN CARLOS","LOS ANGELES",171,44460,"Guadalajara"
"CANTARRANAS","MIGUEL BERNAL",3327,44829,"Guadalajara"
"GUADALUPANA","CELEDONIO PADIL",2162,44220,"Guadalajara"
"COLINAS D LA PRIMAVE","CASCADA",147,45066,"zapopan"
"SANTA ELENA","ASTURIAS",1581,44230,"Guadalajara"
"AGRICOLA","OBELISCO",138,45236,"zapopan"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"VALENTIN GOMEZ FARIA","CANUTO ELIAS",3414,44977,"Guadalajara"
"REAL DE TESISTAN","PRIVADA EMILIAN",28,45200,"zapopan"
"OBLATOS PONIENTE","HACIENDA DE LAS",2299,44700,"Guadalajara"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"DIVISION DEL NORTE","TERUEL",3693,44230,"Guadalajara"
"BLANCO Y CUELLAR","EMILIO RABAZA",2132,44730,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA LA PUR",2415,44700,"Guadalajara"
"VALLE DE LOS MOLINOS","BERNA",75,45200,"zapopan"
"REAL DE VALDEPE?S","CALLE G 1470 TO",1470,45130,"zapopan"
"EL CENTINELA 2","HIDALGO",310,45187,"zapopan"
"RESIDENCIAL GUADALUP","MISION SAN PATR",350,45030,"zapopan"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"RANCHO NUEVO","CELERINO NAVARR",4135,44240,"zapopan"
"RESIDENC LA ESTANCIA","WOLFANG AMADEUS",5552,45030,"zapopan"
"LINDAVISTA","ALLENDE",216,45169,"zapopan"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"JARDINES DE LOS POET","JOSE FERNANDEZ",3365,44820,"Guadalajara"
"GENERAL REAL","MARCONI",17,44400,"Guadalajara"
"VILLA VICENTE GUERRE","ISLA USTICA",3318,44860,"Guadalajara"
"U H FOVISSSTE ESTADI","LISBOA",28,44307,"Guadalajara"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"INDIGENA D MEZQUITAN","18 DE MARZO",409,45190,"zapopan"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"OBLATOS PONIENTE","HACIENDA LA GAV",3208,44700,"Guadalajara"
"U H EL ZALATE","JOSE FERNANDEZ",1123,44760,"Guadalajara"
"DIVISION DL NTE ZAP","FRANCISCO VILLA",27,45180,"zapopan"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"18 DE MARZO","NATIVIDAD MACIA",1326,44960,"Guadalajara"
"CONJ LOMAS ALTAS","PASEO DEL ARCO",4098,45128,"zapopan"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"HDA SAN ISIDRO","LA VILLA",455,45147,"zapopan"
"EL HUMEDO","RIO ACAPONETA",2,45200,"zapopan"
"OBLATOS PONIENTE","HACIENDA DE TAL",2191,44700,"Guadalajara"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
"VILLA UNIVESITARIA","AV PATRIA",1446,45110,"zapopan"
"EL BATAN","ANDADOR AGUA AZ",44,45190,"zapopan"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"MIRAVALLE","JOSE JARAMILLO",526,44990,"Guadalajara"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",26,45116,"zapopan"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"FRACC, LOS MOLINOS","PLATA",70,45200,"zapopan"
"MESA COLORADA PTE","NABO",543,45189,"zapopan"
"BARRIO ANALCO","ABASOLO",147,44450,"Guadalajara"
"MIRAMAR","BAHIA MAGDALENA",5,45060,"zapopan"
"DEL FRESNO","CIPRES",1738,44900,"Guadalajara"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"OBLATOS","BATALLA DE IZUC",2508,44700,"Guadalajara"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"LOMAS DEL GALLO","FERNANDO SOLIS",1338,44760,"Guadalajara"
"VALLE REAL","PASEO SAN ARTUR",685,45019,"zapopan"
"JARDINES DE LA CRUZ","REYES CATOLICOS",2151,44950,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3308,45085,"zapopan"
"VILLA FONTANA DIAMANTE","AV JADE",86,45200,"zapopan"
"INDEPENDENCIA PTE","ROGELIO BACON",1676,44290,"Guadalajara"
