"colonia","calle","No.Casa","C.P.","Ciudad"
"DIVISION DL NTE ZAP","FRANCISCO VILLA",27,45180,"zapopan"
"LOMAS DE MIRAMAR","PUERTO TAMPICO",80,45060,"zapopan"
"BALCONES DE OBLATOS","HACIENDA DEL CA",2275,44720,"Guadalajara"
"RESIDENCIAL TESISTAN","PARQUE MEXICANO",150,45200,"zapopan"
"REAL DE TESISTAN","PASEO DE LA ARB",176,45200,"zapopan"
"RINCONADA DE HUENTITAN","JUAN CARRASCO",5234,44250,"Guadalajara"
"FRACC HACIENDA LAS PALOMAS","CALLE DEL AGUA",365,45200,"zapopan"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"RANCHO NUEVO","DOMINGO RAMIRE",1150,44240,"Guadalajara"
"VALENTIN GOMEZ FARIA","JUAN DE DIOS CO",12,44977,"Guadalajara"
"UNIDAD MEXICO","CDA QUERETARO",278,45120,"zapopan"
"ELECTRICISTAS","RAMOS ARIZPE",451,44810,"Guadalajara"
"RANCHO NUEVO","CELERINO NAVARR",4135,44240,"zapopan"
"VILLA UNIVESITARIA","AV PATRIA",1446,45110,"zapopan"
"HELIODORO HERNANDEZ","CELIA PACHECO",3713,44720,"Guadalajara"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"SAN CARLOS","LOS ANGELES",171,44460,"Guadalajara"
"RINCONADA DE HUENTITAN","JOSE MARIA CANA",5128,44250,"Guadalajara"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"AGRICOLA","DALIA",138,45236,"zapopan"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"MESA DE LOS OCOTES","PASEO DE LOS PI",3153,45189,"zapopan"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"ECHEVERRIA","JOSE ARTEAGA",2985,44970,"Guadalajara"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"VISTA HERMOSA","VISTA BONITA",739,45189,"zapopan"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"HDA SAN ISIDRO","EJIDO",570,45147,"zapopan"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"VILLA FONTANA DIAMANTE","FUENTE BRILLANT",1730,45200,"zapopan"
"LOMAS DEL REFUGIO","AGUA PRIETA",111,45186,"zapopan"
"LOMAS DEL GALLO","FERNANDO SOLIS",1338,44760,"Guadalajara"
"UNIDAD BELISARIO DOM","JOSE LUIS MORA",1212,44329,"Guadalajara"
"SANTA FE","EMILIANO ZAPATA",574,45168,"zapopan"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"PRADOS TEPEYAC","PRADO DE LAS GA",4468,45050,"zapopan"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",5430,45116,"zapopan"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
