"colonia","calle","No.Casa","C.P.","Ciudad"
"INF LA TUZANIA","AV DE LAS PALME",1246,45138,"zapopan"
"EL BATAN","ALCALDE",288,45190,"zapopan"
"MARAVILLA","HACIENDA DE GUA",1124,44700,"Guadalajara"
"COLINAS D LA PRIMAVE","CASCADA",147,45066,"zapopan"
"LADRON DE GUEVARA","AVENIDA AMERICA",620,44600,"Guadalajara"
"SAN ANDRES","CALLE B",165,44810,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3308,45085,"zapopan"
"JARDINES DEL COUNTRY","ENRIQUE DIAZ DE",2336,44210,"Guadalajara"
"LOMAS DEL PARADERO","LUIS QUINTANAR",746,44840,"Guadalajara"
"FRACC JARDINES DE BELEN","TORONJA",41,45200,"zapopan"
"SAN VICENTE","PUERTO SOTO LA",2280,44330,"Guadalajara"
"PRADOS TEPEYAC","PRADO DE LAS GA",4468,45050,"zapopan"
"LOMAS DE POLANCO","JOSE CARRILLO",3528,44960,"Guadalajara"
"LAS AGUILAS","RIO TOMATLAN",800,45080,"zapopan"
"OBLATOS PONIENTE","HDA LAS CRUCES",2158,44700,"Guadalajara"
"RESIDENCIAL AZALEAS","SERVIDOR PUBLIC",1425,45230,"zapopan"
"U H FOVISSSTE ESTADI","LISBOA",28,44307,"Guadalajara"
"VILLAS DE GADALUPE","AV PATRIA",4177,44720,"Guadalajara"
"RANCHO NUEVO","CELERINO NAVARR",4135,44240,"zapopan"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"TETLAN","JOSE RAMOS",4342,44820,"Guadalajara"
"LINDAVISTA","ALLENDE",216,45169,"zapopan"
"REAL QUINTAS DEL VALLE","CIRCUITO REAL S",0,45138,"zapopan"
"REAL DE TESISTAN","PRIVADA EMILIAN",28,45200,"zapopan"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"VALLARTA SAN JORGE","TUCIDIDES",156,44690,"Guadalajara"
"JARDINES DE STA ISAB","STA MARTHA",3165,44300,"Guadalajara"
"1RO DE MAYO 1A SECCI","CARLOS A CARRIL",527,44970,"Guadalajara"
"SAN JUAN BOSCO","FELIX BERNARDEL",428,44730,"Guadalajara"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"INDEPENDENCIA PTE","ROGELIO BACON",1676,44290,"Guadalajara"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"EL CENTINELA 2","HIDALGO",310,45187,"zapopan"
"OBLATOS PONIENTE","HACIENDA LA PUR",2415,44700,"Guadalajara"
"FRACC CUSPIDE","SAN MATEO 1155",27,45200,"zapopan"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"MESA DE LOS OCOTES","BETABEL",23,45189,"zapopan"
"UNIDAD MEXICO","CDA QUERETARO",278,45120,"zapopan"
"NUEVO MEXICO","COPALITA",2711,45138,"zapopan"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"VILLA UNIVESITARIA","AV PATRIA",1446,45110,"zapopan"
"DIVISION DEL NORTE","TERUEL",3693,44230,"Guadalajara"
"5 DE MAYO","RAMON MARQUEZ",362,44970,"Guadalajara"
"JARDINES D NVO MEXIC","SEGUNDA NORTE",5699,45138,"zapopan"
"RESIDENCIAL LA CRUZ","ISLA ABACO",3086,44950,"Guadalajara"
"CANTEROS","PRIVADA CANTERO",1564,45190,"zapopan"
"REAL DE VALDEPE?S","CALLE G 1470 TO",1470,45130,"zapopan"
"CONJ LOMAS ALTAS","PASEO DEL ARCO",4098,45128,"zapopan"
"TABACHINES","PASEO DE LOS CH",3040,45188,"zapopan"
"PARAISOS DEL COLLY","GALEANA",1068,45069,"zapopan"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"LA ESTRADA","HIDALAGO",6,45200,"zapopan"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"BUGAMBILIAS","PASEO DE LA VIC",4952,45238,"zapopan"
"LOMAS DL VALLE VI UN","CANCER",3992,45129,"zapopan"
"PASEOS DEL BRISE#O","PASEOS DE LOS I",1,45236,"zapopan"
"LA PALMITA","MANUEL GONZALEZ",518,45180,"zapopan"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"JARDINES DE LA PAZ","TEJEDORES",569,44860,"Guadalajara"
"BOSQUES D L VICTORIA","FAUNA",2765,44540,"Guadalajara"
"COLINAS DE ATEMAJAC","AV AURELIO ORTE",1176,45170,"zapopan"
"GENERAL REAL","PENSADOR MEXICA",1070,44400,"Guadalajara"
"MARAVILLA","SANTA JULIA",1334,44700,"Guadalajara"
"ARANDAS","HACIENDA DEL CO",3363,44720,"Guadalajara"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"CANTARRANAS","MIGUEL BERNAL",3327,44829,"Guadalajara"
"ECHEVERRIA","JOSE ROJO",958,44970,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA LA GAV",3208,44700,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN VIRGEN",182,44250,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA DE LAS",2299,44700,"Guadalajara"
"FRACC REAL DEL BOSQUE","BERROCAL",449,45130,"zapopan"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"SAN CARLOS","LOS ANGELES",171,44460,"Guadalajara"
"BARRANQUITAS","PINO SUAREZ",879,44270,"Guadalajara"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"VICTOR HUGO","PRIVADA COLON",150,45190,"zapopan"
"LOS ALMENDROS","ANTONIO GARCIA",3912,44240,"Guadalajara"
"NUEVO MEXICO","6 DE ENERO",3239,45138,"zapopan"
"TETLAN","GIGANTES",108,44820,"Guadalajara"
"SANTA MARIA","SAN MATEO",1407,44350,"Guadalajara"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"MEZQUITAN COUNTRY","DIAGONAL NAJERA",1876,44260,"Guadalajara"
"18 DE MARZO","NATIVIDAD MACIA",1326,44960,"Guadalajara"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"INDIGENA D MEZQUITAN","18 DE MARZO",409,45190,"zapopan"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
"CAMPO REAL","AV CAMPO REAL P",353,45134,"zapopan"
"MESA COLORADA PTE","ANAHUAC",52,45189,"zapopan"
"DIVISION DEL NORTE","SILVINA REMBOA",3050,44230,"Guadalajara"
"RNDA DE PAZ","ALBANILES",543,44860,"Guadalajara"
"HDA SAN ISIDRO","EJIDO",570,45147,"zapopan"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"RINCONADA DE HUENTITAN","JOSE MARIA CANA",5128,44250,"Guadalajara"
"COPALITA","AV AMARANTO",175,45200,"zapopan"
"OBLATOS PONIENTE","JUAN PABLO II",3165,44700,"Guadalajara"
"RINCONADA DE HUENTITAN","JUAN CARRASCO",5234,44250,"Guadalajara"
"JARDINES DE LA CRUZ","REYES CATOLICOS",2151,44950,"Guadalajara"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"VIGIA I","DEL CORRAL",604,45140,"zapopan"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"SAN ANDRES","GOMEZ FARIAS",2319,44810,"Guadalajara"
"LA AURORA","SALVADOR LOPEZ",1750,44790,"Guadalajara"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"LA FLORIDA","FLORAL",15,45234,"zapopan"
"VALLE DE LOS MOLINOS","BERNA",75,45200,"zapopan"
"U H EL ZALATE","JOSE FERNANDEZ",1123,44760,"Guadalajara"
"ECHEVERRIA","JOSE ARTEAGA",2985,44970,"Guadalajara"
"VALENTIN GOMEZ FARIA","JUAN DE DIOS CO",12,44977,"Guadalajara"
"BENITO JUAREZ","JUAN MANUEL RUV",1992,45199,"Guadalajara"
"EL HUMEDO","RIO ACAPONETA",2,45200,"zapopan"
"LA CAMPESINA","JOSE MARIA SARM",1488,44769,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"LOMAS DL PARAISO 1","RAFAEL CARDENAS",290,44250,"Guadalajara"
"HERMOSA PROVIN ZO TE","TELEFONISTAS",3331,44770,"Guadalajara"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"JARDINES DE LOS POET","JOSE FERNANDEZ",3365,44820,"Guadalajara"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"PASEOS DEL SOL","TOMAS BALCAZAR",5404,45079,"zapopan"
"REAL DE TESISTAN","PASEO DE LA ARB",176,45200,"zapopan"
"JARDINES DE STA ISAB","COMBATE DE SACR",228,44300,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"PRADOS TEPEYAC","PRADO DE LAS RO",308,45050,"zapopan"
"VISTA HERMOSA","VISTA BONITA",739,45189,"zapopan"
"INF LA TUZANIA","CAPULINES",40,45138,"zapopan"
"RINCONADA DEL BOSQUE","AV ECONOMOS",6951,44510,"Guadalajara"
"COLLY SITIO","ROMANA",6570,45036,"zapopan"
"RESIDENCIAL TESISTAN","AV SAN MATEO",1115,45200,"zapopan"
"MESA COLORADA PTE","NABO",543,45189,"zapopan"
"EL BATAN","ANDADOR AGUA AZ",44,45190,"zapopan"
"PANORAMICA HUENTITAN","CALZADA",4500,44259,"Guadalajara"
"COLINAS DEL REY","AV TORREMOLINOS",3500,45130,"zapopan"
"LOMAS DEL REFUGIO","AGUA PRIETA",111,45186,"zapopan"
"CIUDAD GRANJA","CALZ DE LOS LA",164,45010,"zapopan"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"SANTA TERESITA","ALFREDO CHAVERO",16,44600,"Guadalajara"
"EL CENTRO","JUAREZ",400,44100,"Guadalajara"
"LAGOS D OTE ZONA TET","LICURGO",336,44770,"Guadalajara"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"HDA SAN ISIDRO","LA VILLA",455,45147,"zapopan"
"MIRAVALLE","MAURICIO CAMPOS",512,44990,"Guadalajara"
"BLANCO Y CUELLAR","EMILIO RABAZA",2132,44730,"Guadalajara"
"U H EL SAUZ INF","JAIME TORRES B",3090,44987,"Guadalajara"
"MESA DE LOS OCOTES","PASEO DE LOS PI",3153,45189,"zapopan"
"REAL DE VALDEPE?S","ALAMBIQUE",51,45130,"zapopan"
"ARENALES TAPATIOS","AV GUADALUPE",132,45066,"zapopan"
"EL BRISE?","PASEO DE LA MAT",200,45236,"zapopan"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"TRANSITO","AV CIRCUNVALANC",479,44298,"Guadalajara"
"BALCONES DE OBLATOS","HACIENDA DEL CA",2275,44720,"Guadalajara"
"DEL FRESNO","CIPRES",1738,44900,"Guadalajara"
"LOS ROBLES","CALLE LOS ROBLE",395,45134,"zapopan"
"ARENALES TAPATIOS","CROMITA",69,45066,"zapopan"
"FRACC LOS PINOS","AV  COMPOSITORE",3850,45120,"zapopan"
"TETLAN","AURELIA GUEVARA",3518,44820,"Guadalajara"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"VIRREYES RESIDENCIAL","AV NACIONES UNI",6904,45110,"zapopan"
"TABACHINES","PASEO DE LOS AV",3101,45188,"zapopan"
"OBREROS D L CONSTRUC","ABEDUL",274,44900,"Guadalajara"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"OBLATOS","BATALLA DE IZUC",2508,44700,"Guadalajara"
"MESA COLORADA PTE","DELLI",1825,45189,"zapopan"
"PENAL","PEDRO CELESTINO",482,44730,"Guadalajara"
"OBLATOS","AV JUAN PABLO L",3165,44700,"Guadalajara"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"PARQUE REVOLUCION","AV MIGUEL HIDAL",469,44100,"Guadalajara"
"FEDERALISMO","MONTE HIMALAYA",1416,44350,"Guadalajara"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"ARENALES TAPATIOS","DIAMANTE",114,45066,"zapopan"
"CIRCUNVAL VALLARTA","REFORMA",2749,44680,"Guadalajara"
"MIRAVALLE II","HERMENEGILDO BU",4308,44990,"Guadalajara"
"UNIDAD JARDINES SEAT","JARDINES DE LOS",1233,45180,"zapopan"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"LOMAS DE MIRAMAR","URANIO",31,45060,"zapopan"
"MARAVILLA","MESA DEL NORTE",1272,44700,"Guadalajara"
"VILLA DE GUADALUPE II","PABLO HIPOLITO",45,45189,"zapopan"
"VILLAS SAN IGNACIO","PABLO QUIROGA",215,45180,"zapopan"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",26,45116,"zapopan"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"BOSQUES D L VICTORIA","PENINSULA",2713,44540,"Guadalajara"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"AMERICANA","MEXICALLTZINGO",1944,44160,"Guadalajara"
"GENERAL REAL","MARCONI",17,44400,"Guadalajara"
"FRACC, LOS MOLINOS","PLATA",70,45200,"zapopan"
"VICENTE GUERRERO","C CEDROS",15,45134,"zapopan"
"MORELOS","CISNE",1332,44910,"Guadalajara"
"JARDINES  DEL BOSQUE","PLACERES",806,44520,"zapopan"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"EL ZAPOTE","TEZOZOMOC",4357,45050,"zapopan"
"MIGUEL HIDALGO","15 DE SEPTIEMBR",3017,45186,"zapopan"
"SANTA ROSA","MELQUIADES CAMP",2289,44700,"Guadalajara"
"CONDOMINIO MALAGA","AV CENTRAL",1351,45117,"zapopan"
"LADRON DE GUEVARA","FRAY LUIS DE PA",443,44600,"Guadalajara"
"U H ATLAS","RIO VOLGA",1386,44870,"Guadalajara"
"RESIDENC LA ESTANCIA","WOLFANG AMADEUS",5552,45030,"zapopan"
"SANTA FE","EMILIANO ZAPATA",574,45168,"zapopan"
