"colonia","calle","No.Casa","C.P.","Ciudad"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"LA MARTINICA","PASEO DE LOS AL",79,45185,"zapopan"
"SAN RAFAEL","CARLOS GONZALEZ",280,44810,"Guadalajara"
"LOMAS DL VALLE VI UN","CANCER",3992,45129,"zapopan"
"EL COLLY URBANO I","VOLCAN VESUBIO",2321,45070,"zapopan"
"PENAL","PEDRO CELESTINO",482,44730,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA DE TAL",2191,44700,"Guadalajara"
"LA CAMPESINA","JOSE MARIA SARM",1488,44769,"Guadalajara"
"REAL DE VALDEPE?S","CALLE G 1470 TO",1470,45130,"zapopan"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"VIRREYES RESIDENCIAL","AV NACIONES UNI",6904,45110,"zapopan"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",5430,45116,"zapopan"
"OBLATOS PONIENTE","HDA LAS CRUCES",2158,44700,"Guadalajara"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",26,45116,"zapopan"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"REAL QUINTAS DEL VALLE","CIRCUITO REAL S",0,45138,"zapopan"
"FRACC LOS PINOS","AV  COMPOSITORE",3850,45120,"zapopan"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"COLINAS DE ATEMAJAC","AV AURELIO ORTE",1176,45170,"zapopan"
"HELIODORO HERNANDEZ","CELIA PACHECO",3713,44720,"Guadalajara"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"REAL DE VALDEPE?S","ALAMBIQUE",51,45130,"zapopan"
"HERMOSA PROVIN ZO TE","ARQUIMIDES",630,44770,"Guadalajara"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"18 DE MARZO","NATIVIDAD MACIA",1326,44960,"Guadalajara"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"FEDERALISMO","MONTE HIMALAYA",1416,44350,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"MIRAMAR","BAHIA MAGDALENA",5,45060,"zapopan"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"DIVISION DEL NORTE","SILVINA REMBOA",3050,44230,"Guadalajara"
"CONDOMINIO MALAGA","AV CENTRAL",1351,45117,"zapopan"
"TABACHINES","PASEO DE LOS CH",3040,45188,"zapopan"
