"colonia","calle","No.Casa","C.P.","Ciudad"
"LOMAS DEL GALLO","FERNANDO SOLIS",1338,44760,"Guadalajara"
"LOMAS DEL PARADERO","LUIS QUINTANAR",746,44840,"Guadalajara"
"RANCHO NUEVO","DOMINGO RAMIRE",1150,44240,"Guadalajara"
"ARENALES TAPATIOS","DIAMANTE",114,45066,"zapopan"
"DIVISION DEL NORTE","BENEDICTO LOPEZ",399,44230,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN VIRGEN",182,44250,"Guadalajara"
"ECHEVERRIA","JOSE ROJO",958,44970,"Guadalajara"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"PRADOS TEPEYAC","PRADO DE LAS RO",308,45050,"zapopan"
"DIVISION DEL NORTE","TERUEL",3693,44230,"Guadalajara"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"FRACC, LOS MOLINOS","PLATA",70,45200,"zapopan"
"LA AURORA","SALVADOR LOPEZ",1750,44790,"Guadalajara"
"GUADALUPANA","CELEDONIO PADIL",2162,44220,"Guadalajara"
"MIRAMAR","BAHIA MAGDALENA",5,45060,"zapopan"
"OBLATOS PONIENTE","HDA LAS CRUCES",2158,44700,"Guadalajara"
"SAN ANDRES","CALLE B",165,44810,"Guadalajara"
"INDEPENDENCIA PTE","ROGELIO BACON",1676,44290,"Guadalajara"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"SANTA ANA TEPETITLAN","HIDALGO",35,45230,"zapopan"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"JARDINES DE LA CRUZ","ISLA ASENCION",3108,44950,"Guadalajara"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"LA MARTINICA","PASEO DE LOS AL",79,45185,"zapopan"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"BATALLON SN PATRICIO","CALZADA INDEPEN",503,44300,"Guadalajara"
"SAN ISIDRO EJIDAL","NUEVO MEXICO",250,45147,"zapopan"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"PROGRESO","FRANCISCO SARAB",235,44730,"Guadalajara"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"FRACC REAL DEL BOSQUE","CALLE CAMPO REA",371,45130,"zapopan"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
"TRANSITO","AV CIRCUNVALANC",479,44298,"Guadalajara"
"DIVISION DEL NORTE","SILVINA REMBOA",3050,44230,"Guadalajara"
"SAN ANDRES","GOMEZ FARIAS",2319,44810,"Guadalajara"
