"colonia","calle","No.Casa","C.P.","Ciudad"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"HOGARES GUADALAJARA","CIRCUNVALACION",258,44340,"Guadalajara"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"MIRAVALLE","MAURICIO CAMPOS",512,44990,"Guadalajara"
"JARDINES DE STA ISAB","STA MARTHA",3165,44300,"Guadalajara"
"SANTA TERESITA","ALFREDO CHAVERO",16,44600,"Guadalajara"
"FRACC JARDINES DE BELEN","TORONJA",41,45200,"zapopan"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"TETLAN","JOSE RAMOS",4342,44820,"Guadalajara"
"LA ESTRADA","HIDALAGO",6,45200,"zapopan"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"LOMAS DE RIO VERDE","DEMOSTENES",3550,44720,"Guadalajara"
"PARAISOS DEL COLLY","GALEANA",1068,45069,"zapopan"
"SAN RAFAEL","CARLOS GONZALEZ",280,44810,"Guadalajara"
"SAN VICENTE","PUERTO SOTO LA",2280,44330,"Guadalajara"
"SANTA ELENA","ASTURIAS",1581,44230,"Guadalajara"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"LOS ROBLES","CALLE LOS ROBLE",395,45134,"zapopan"
"TALPITA","SANTO TOMAS",1786,44719,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA DE LAS",2299,44700,"Guadalajara"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"VILLA UNIVESITARIA","AV PATRIA",1446,45110,"zapopan"
"GENERAL REAL","MARCONI",17,44400,"Guadalajara"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"AMERICANA","COLONIAS",221,44160,"Guadalajara"
"PASEOS DEL BRISE#O","PASEOS DE LOS I",1,45236,"zapopan"
"JARDINES D NVO MEXIC","SEGUNDA NORTE",5699,45138,"zapopan"
"VILLAS DE GADALUPE","AV PATRIA",4177,44720,"Guadalajara"
"COLLY SITIO","ROMANA",6570,45036,"zapopan"
"PARQUE INDUST EL ALA","FUNDICION",2131,44490,"Guadalajara"
"EL CENTINELA 2","HIDALGO",310,45187,"zapopan"
"OBLATOS","AV JUAN PABLO L",3165,44700,"Guadalajara"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"U H ATLAS","RIO VOLGA",1386,44870,"Guadalajara"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"U. H. BENITO JUAREZ II","CREDITO",4049,44770,"Guadalajara"
"EL CENTRO","JUAREZ",400,44100,"Guadalajara"
"HELIODORO HERNANDEZ","CELIA PACHECO",3713,44720,"Guadalajara"
"BLANCO Y CUELLAR","EMILIO RABAZA",2132,44730,"Guadalajara"
"LADRON DE GUEVARA","AVENIDA AMERICA",620,44600,"Guadalajara"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"LA MOJONERA","DE BARAJAS",425,45134,"zapopan"
"COLINAS DE ATEMAJAC","AV AURELIO ORTE",1176,45170,"zapopan"
"MESA COLORADA PTE","DELLI",1825,45189,"zapopan"
"LA CAMPESINA","JOSE MARIA SARM",1488,44769,"Guadalajara"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"U H EL SAUZ INF","JAIME TORRES B",3090,44987,"Guadalajara"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"EL COLLY URBANO I","VOLCAN VESUBIO",2321,45070,"zapopan"
"EL ZAPOTE","TEZOZOMOC",4357,45050,"zapopan"
"PRADOS TEPEYAC","PRADO DE LAS RO",308,45050,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"MARAVILLA","HACIENDA DE GUA",1124,44700,"Guadalajara"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"VIGIA I","DEL CORRAL",604,45140,"zapopan"
"OBLATOS PONIENTE","HACIENDA DE TAL",2191,44700,"Guadalajara"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"EL HUMEDO","RIO ACAPONETA",2,45200,"zapopan"
"PENAL","PEDRO CELESTINO",482,44730,"Guadalajara"
"AGRICOLA","OBELISCO",138,45236,"zapopan"
"SAN ANDRES","GOMEZ FARIAS",2319,44810,"Guadalajara"
"MESA DE LOS OCOTES","PASEO DE LOS PI",3153,45189,"zapopan"
"18 DE MARZO","FAJA DE ORO",1783,44960,"Guadalajara"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"POLANQUITO","MIGUEL MACIAS",3653,44969,"Guadalajara"
"VALENTIN GOMEZ FARIA","JUAN DE DIOS CO",12,44977,"Guadalajara"
"FEDERALISMO","MONTE HIMALAYA",1416,44350,"Guadalajara"
"5 DE MAYO","RAMON MARQUEZ",362,44970,"Guadalajara"
"LOMAS DEL REFUGIO","AGUA PRIETA",111,45186,"zapopan"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"LAS AGUILAS","RIO TOMATLAN",800,45080,"zapopan"
"UNIDAD JARDINES SEAT","JARDINES DE LOS",1233,45180,"zapopan"
"NUEVO MEXICO","6 DE ENERO",3239,45138,"zapopan"
"PRADOS TEPEYAC","PRADO DE LAS GA",4468,45050,"zapopan"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
