"colonia","calle","No.Casa","C.P.","Ciudad"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"U H FOVISSSTE ESTADI","LISBOA",28,44307,"Guadalajara"
"VILLA FONTANA DIAMANTE","AV LAS TORRES",1896,45200,"zapopan"
"TRANSITO","AV CIRCUNVALANC",479,44298,"Guadalajara"
"HDA SAN ISIDRO","LA VILLA",455,45147,"zapopan"
"EJIDAL LOMA BONITA","PEDRO MORENO",3205,45085,"zapopan"
"MESA COLORADA PTE","NABO",543,45189,"zapopan"
"ARENALES TAPATIOS","AV GUADALUPE",132,45066,"zapopan"
"TABACHINES","PASEO DE LOS CH",3040,45188,"zapopan"
"SANTA ELENA","ASTURIAS",1581,44230,"Guadalajara"
"LOMAS DEL CENTINELA","PASEO DEL OLMO",328,45187,"zapopan"
"OBLATOS PONIENTE","HDA LAS CRUCES",2158,44700,"Guadalajara"
"LA AURORA","SALVADOR LOPEZ",1750,44790,"Guadalajara"
"LOMAS DE MIRAMAR","URANIO",31,45060,"zapopan"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"RESIDENCIAL LA CRUZ","ISLA ABACO",3086,44950,"Guadalajara"
"FRACC PALERMO","MARINA",204,45200,"zapopan"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"BUGAMBILIAS","PASEO DE LA VIC",4952,45238,"zapopan"
"LOMAS DE MIRAMAR","PUERTO TAMPICO",80,45060,"zapopan"
"REAL DE VALDEPE?S","ALAMBIQUE",51,45130,"zapopan"
"MIRAVALLE","JOSE JARAMILLO",526,44990,"Guadalajara"
"SANTA MARIA","SAN MATEO",1407,44350,"Guadalajara"
"AMERICANA","MEXICALLTZINGO",1944,44160,"Guadalajara"
"VALLE REAL","AV RAMON CORONA",2748,45019,"zapopan"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"SAN JUAN DE OCOTAN","MIGUEL MIRAMON",13,45019,"zapopan"
"RESIDENCIAL GUADALUP","MISION SAN PATR",350,45030,"zapopan"
"COLINAS D LA PRIMAVE","CASCADA",147,45066,"zapopan"
"FRACC CUSPIDE","VALLE DE TESIST",198,45200,"zapopan"
"1RO DE MAYO 1A SECCI","CARLOS A CARRIL",527,44970,"Guadalajara"
"DIVISION DEL NORTE","TERUEL",3693,44230,"Guadalajara"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"RINCONADA DE HUENTITAN","JUAN CARRASCO",5234,44250,"Guadalajara"
"VILLA UNIVESITARIA","AV PATRIA",1446,45110,"zapopan"
"LADRON DE GUEVARA","AVENIDA MEXICO",2582,44600,"Guadalajara"
"PARQUE REVOLUCION","AV MIGUEL HIDAL",469,44100,"Guadalajara"
