"colonia","calle","No.Casa","C.P.","Ciudad"
"U. H. BENITO JUAREZ II","CREDITO",4049,44770,"Guadalajara"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"MIRAVALLE II","HERMENEGILDO BU",4308,44990,"Guadalajara"
"JARDINES DE STA ISAB","STA MARTHA",3165,44300,"Guadalajara"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"LOMAS DE MIRAMAR","URANIO",31,45060,"zapopan"
"CAMPO REAL","AV CAMPO REAL P",353,45134,"zapopan"
"JARDINES DE LOS POET","JOSE FERNANDEZ",3365,44820,"Guadalajara"
"18 DE MARZO","NATIVIDAD MACIA",1326,44960,"Guadalajara"
"PENAL","PEDRO CELESTINO",482,44730,"Guadalajara"
"CIUDAD GRANJA","CALZ DE LOS LA",164,45010,"zapopan"
"VILLAS DE GADALUPE","AV PATRIA",4177,44720,"Guadalajara"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"UNIDAD JARDINES SEAT","JARDINES DE LOS",1233,45180,"zapopan"
"EL BATAN","ANDADOR AGUA AZ",44,45190,"zapopan"
"TABACHINES","PASEO DE LOS AV",3101,45188,"zapopan"
"JARDINES DEL NILO","MANUEL RIVERA C",2818,44860,"Guadalajara"
"FRACC HACIENDA LAS PALOMAS","CALLE DEL AGUA",365,45200,"zapopan"
"DIVISION DEL NORTE","BENEDICTO LOPEZ",399,44230,"Guadalajara"
"FRACC, LOS MOLINOS","CTO OBSIDIANA",39,45200,"zapopan"
"VISTA HERMOSA","VISTA BONITA",739,45189,"zapopan"
"RESIDENCIAL LA CRUZ","ISLA ABACO",3086,44950,"Guadalajara"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"SAN JUAN DE OCOTAN","MIGUEL MIRAMON",13,45019,"zapopan"
"RESIDENCIAL AZALEAS","SERVIDOR PUBLIC",1425,45230,"zapopan"
"SANTA MARIA","SAN MATEO",1407,44350,"Guadalajara"
"INDEPENDENCIA PTE","ROGELIO BACON",1676,44290,"Guadalajara"
"MARAVILLA","SANTA JULIA",1334,44700,"Guadalajara"
"JARDINES DEL COUNTRY","ENRIQUE DIAZ DE",2336,44210,"Guadalajara"
"SAN ISIDRO EJIDAL","NUEVO MEXICO",250,45147,"zapopan"
"MEZQUITAN COUNTRY","DIAGONAL NAJERA",1876,44260,"Guadalajara"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"VILLAS SAN IGNACIO","PABLO QUIROGA",215,45180,"zapopan"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"VALENTIN GOMEZ FARIA","JUAN DE DIOS CO",12,44977,"Guadalajara"
"PARAISOS DEL COLLY","GALEANA",1068,45069,"zapopan"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"PROGRESO","FRANCISCO SARAB",235,44730,"Guadalajara"
"VALLE REAL","AV RAMON CORONA",2748,45019,"zapopan"
"LOMAS DE MIRAMAR","PUERTO CHAMELA",314,45060,"zapopan"
"REAL QUINTAS DEL VALLE","CIRCUITO REAL S",0,45138,"zapopan"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"JARDINES DE STA ISAB","COMBATE DE SACR",228,44300,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN VIRGEN",182,44250,"Guadalajara"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"BLANCO Y CUELLAR","EMILIO RABAZA",2132,44730,"Guadalajara"
"FRACC LOS PINOS","AV  COMPOSITORE",3850,45120,"zapopan"
"MIRAVALLE","MAURICIO CAMPOS",512,44990,"Guadalajara"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"OBLATOS PONIENTE","JUAN PABLO II",3165,44700,"Guadalajara"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",5430,45116,"zapopan"
"REAL DE VALDEPE?S","ALAMBIQUE",51,45130,"zapopan"
"VILLA VICENTE GUERRE","ISLA USTICA",3318,44860,"Guadalajara"
"RINCONADA DE HUENTITAN","JOSE MARIA CANA",5128,44250,"Guadalajara"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"ELECTRICISTAS","RAMOS ARIZPE",451,44810,"Guadalajara"
"PANORAMICA HUENTITAN","CALZADA",4500,44259,"Guadalajara"
"COLINAS DEL REY","AV TORREMOLINOS",3500,45130,"zapopan"
"LA LOMA","LUIS PAEZ BROTC",1574,44410,"Guadalajara"
"LOMAS DL VALLE VI UN","CANCER",3992,45129,"zapopan"
"EJIDAL LOMA BONITA","PEDRO MORENO",3308,45085,"zapopan"
"CONJ LOMAS ALTAS","PASEO DEL ARCO",4098,45128,"zapopan"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"1RO DE MAYO 1A SECCI","CARLOS A CARRIL",527,44970,"Guadalajara"
"BARRIO ANALCO","ABASOLO",147,44450,"Guadalajara"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"MIGUEL HIDALGO","15 DE SEPTIEMBR",3017,45186,"zapopan"
"LA PALMITA","MANUEL GONZALEZ",518,45180,"zapopan"
"EL COLLY URBANO I","MELCHOR OCAMPO",1233,45070,"zapopan"
"AGRICOLA","DALIA",138,45236,"zapopan"
"BATALLON SN PATRICIO","CALZADA INDEPEN",503,44300,"Guadalajara"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"COPALITA","AV AMARANTO",175,45200,"zapopan"
"FRACC REAL DEL BOSQUE","CALLE CAMPO REA",371,45130,"zapopan"
"REAL DE VALDEPE?S","RINCONADA DEL C",1327,45130,"zapopan"
"SANTA ANA TEPETITLAN","HIDALGO",35,45230,"zapopan"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"TETLAN","GIGANTES",108,44820,"Guadalajara"
"SAN JUAN BOSCO","FELIX BERNARDEL",428,44730,"Guadalajara"
"BUGAMBILIAS","PASEO DE LA VIC",4952,45238,"zapopan"
"MIRAVALLE","JOSE JARAMILLO",526,44990,"Guadalajara"
"EL HUMEDO","RIO ACAPONETA",2,45200,"zapopan"
"SAN CARLOS","LOS ANGELES",171,44460,"Guadalajara"
"RANCHO NUEVO","CELERINO NAVARR",4135,44240,"zapopan"
"LADRON DE GUEVARA","AVENIDA AMERICA",620,44600,"Guadalajara"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"VIGIA I","DEL CORRAL",604,45140,"zapopan"
"FRACC CUSPIDE","SAN MATEO 1155",27,45200,"zapopan"
"HELIODORO HERNANDEZ","MIGUEL SANCHEZ",3789,44720,"Guadalajara"
"SAN ANDRES","GOMEZ FARIAS",2319,44810,"Guadalajara"
"REAL DE VALDEPE?S","CALLE G 1470 TO",1470,45130,"zapopan"
"TABACHINES","PASEO DE LOS CH",3040,45188,"zapopan"
"COLINAS D LA PRIMAVE","CASCADA",147,45066,"zapopan"
"EL COLLY URBANO I","VOLCAN VESUBIO",2321,45070,"zapopan"
"AGRICOLA","OBELISCO",138,45236,"zapopan"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"LOMAS DL PARAISO 1","RAFAEL CARDENAS",290,44250,"Guadalajara"
"LA FLORIDA","FLORAL",15,45234,"zapopan"
"PASEOS DEL BRISE#O","PASEOS DE LOS I",1,45236,"zapopan"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
