"colonia","calle","No.Casa","C.P.","Ciudad"
"U H EL ZALATE","JOSE FERNANDEZ",1123,44760,"Guadalajara"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"LA MARTINICA","PASEO DE LOS AL",79,45185,"zapopan"
"OBLATOS","BATALLA DE IZUC",2508,44700,"Guadalajara"
"VILLA FONTANA DIAMANTE","FUENTE BRILLANT",1730,45200,"zapopan"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"U H EL SAUZ INF","JAIME TORRES B",3090,44987,"Guadalajara"
"EL BRISE#O","CONSTELACION",7,45236,"zapopan"
"VISTA HERMOSA","VISTA BONITA",739,45189,"zapopan"
"PRADOS TEPEYAC","PRADO DE LAS RO",308,45050,"zapopan"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"VILLA VICENTE GUERRE","ISLA USTICA",3318,44860,"Guadalajara"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"MIRAVALLE","JOSE JARAMILLO",526,44990,"Guadalajara"
"SANTA TERESITA","ALFREDO CHAVERO",16,44600,"Guadalajara"
"BENITO JUAREZ","JUAN MANUEL RUV",1992,45199,"Guadalajara"
"HELIODORO HERNANDEZ","CELIA PACHECO",3713,44720,"Guadalajara"
"BARRANQUITAS","PINO SUAREZ",879,44270,"Guadalajara"
"NUEVO MEXICO","COPALITA",2711,45138,"zapopan"
"VICTOR HUGO","PRIVADA COLON",150,45190,"zapopan"
"SAN ISIDRO EJIDAL","NUEVO MEXICO",250,45147,"zapopan"
"JARDINES D NVO MEXIC","SEGUNDA NORTE",5699,45138,"zapopan"
"DIVISION DEL NORTE","BENEDICTO LOPEZ",399,44230,"Guadalajara"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"COLINAS DEL REY","AV TORREMOLINOS",3500,45130,"zapopan"
"SAN ANDRES","CALLE B",165,44810,"Guadalajara"
"SAN JUAN BOSCO","FELIX BERNARDEL",428,44730,"Guadalajara"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"U H ATLAS","RIO VOLGA",1386,44870,"Guadalajara"
"HELIODORO HERNANDEZ","MIGUEL SANCHEZ",3789,44720,"Guadalajara"
"MESA DE LOS OCOTES","PASEO DE LOS PI",3153,45189,"zapopan"
"LA FLORIDA","FLORAL",15,45234,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"VILLA UNIVESITARIA","AV PATRIA",1446,45110,"zapopan"
"MESA COLORADA PTE","ANAHUAC",52,45189,"zapopan"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
