"colonia","calle","No.Casa","C.P.","Ciudad"
"NUEVO MEXICO","6 DE ENERO",3239,45138,"zapopan"
"SANTA ANA TEPETITLAN","HIDALGO",35,45230,"zapopan"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"HDA SAN ISIDRO","LA VILLA",455,45147,"zapopan"
"VALLE REAL","AV RAMON CORONA",2748,45019,"zapopan"
"LADRON DE GUEVARA","AVENIDA MEXICO",2582,44600,"Guadalajara"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"VIRREYES RESIDENCIAL","AV NACIONES UNI",6904,45110,"zapopan"
"UNIDAD BELISARIO DOM","JOSE LUIS MORA",1212,44329,"Guadalajara"
"LOMAS DE POLANCO","JOSE CARRILLO",3528,44960,"Guadalajara"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"ZONA INDUSTRIAL SUR","CALLE 16",2526,44940,"Guadalajara"
"INDIGENA D MEZQUITAN","18 DE MARZO",409,45190,"zapopan"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"PASEOS DEL SOL","TOMAS BALCAZAR",5404,45079,"zapopan"
"MESA COLORADA PTE","NABO",543,45189,"zapopan"
"BOSQUES D L VICTORIA","PENINSULA",2713,44540,"Guadalajara"
"U H EL SAUZ INF","JAIME TORRES B",3090,44987,"Guadalajara"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"JARDINES DE STA ISAB","STA MARTHA",3165,44300,"Guadalajara"
"COLLY SITIO","ROMANA",6570,45036,"zapopan"
"CAMPO REAL","AV CAMPO REAL P",353,45134,"zapopan"
"REAL DE VALDEPE?S","CALLE G 1470 TO",1470,45130,"zapopan"
"ELECTRICISTAS","RAMOS ARIZPE",451,44810,"Guadalajara"
"EL CENTRO","JUAREZ",400,44100,"Guadalajara"
"EL BATAN","ANDADOR AGUA AZ",44,45190,"zapopan"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"LA MOJONERA","DE BARAJAS",425,45134,"zapopan"
"INF LA TUZANIA","AV DE LAS PALME",1246,45138,"zapopan"
"OBREROS D L CONSTRUC","ABEDUL",274,44900,"Guadalajara"
"RINCONADA DEL BOSQUE","AV ECONOMOS",6951,44510,"Guadalajara"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
"JARDINES  DEL BOSQUE","PLACERES",806,44520,"zapopan"
"VILLA FONTANA DIAMANTE","AV LAS TORRES",1896,45200,"zapopan"
"RESIDENC LA ESTANCIA","WOLFANG AMADEUS",5552,45030,"zapopan"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
