"colonia","calle","No.Casa","C.P.","Ciudad"
"BENITO JUAREZ","JUAN MANUEL RUV",1992,45199,"Guadalajara"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"LOS ALMENDROS","ANTONIO GARCIA",3912,44240,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN FUJIYAMA",4413,44250,"Guadalajara"
"JARDINES DEL COUNTRY","ENRIQUE DIAZ DE",2336,44210,"Guadalajara"
"VALLE REAL","PASEO SAN ARTUR",685,45019,"zapopan"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"EL CENTINELA 2","HIDALGO",310,45187,"zapopan"
"U H FOVISSSTE ESTADI","LISBOA",28,44307,"Guadalajara"
"VICENTE GUERRERO","C CEDROS",15,45134,"zapopan"
"GENERAL REAL","PENSADOR MEXICA",1070,44400,"Guadalajara"
"FRACC CUSPIDE","SAN MATEO 1155",27,45200,"zapopan"
"VALLARTA SAN JORGE","TUCIDIDES",156,44690,"Guadalajara"
"PARQUE REVOLUCION","AV MIGUEL HIDAL",469,44100,"Guadalajara"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"VALENTIN GOMEZ FARIA","JUAN DE DIOS CO",12,44977,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3205,45085,"zapopan"
"GUADALUPANA","CELEDONIO PADIL",2162,44220,"Guadalajara"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"MARAVILLA","SANTA JULIA",1334,44700,"Guadalajara"
"SANTA ELENA","ASTURIAS",1581,44230,"Guadalajara"
"SAN VICENTE","MONTES MARCIANO",2173,44330,"Guadalajara"
"1RO DE MAYO 1A SECCI","CARLOS A CARRIL",527,44970,"Guadalajara"
"JARDINES DEL NILO","MANUEL RIVERA C",2818,44860,"Guadalajara"
"GENERAL REAL","MARCONI",17,44400,"Guadalajara"
"CONJ LOMAS ALTAS","PASEO DEL ARCO",4098,45128,"zapopan"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"LOMAS DEL PARADERO","LUIS QUINTANAR",746,44840,"Guadalajara"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"PARQUE INDUST EL ALA","FUNDICION",2131,44490,"Guadalajara"
"LAGOS D OTE ZONA TET","LICURGO",336,44770,"Guadalajara"
"LOMAS DE POLANCO","RAMON ALCORTA",1597,44960,"Guadalajara"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"BATALLON SN PATRICIO","CALZADA INDEPEN",503,44300,"Guadalajara"
"MIRAVALLE","JOSE JARAMILLO",526,44990,"Guadalajara"
"RANCHO NUEVO","CELERINO NAVARR",4135,44240,"zapopan"
"RNDA DE PAZ","ALBANILES",543,44860,"Guadalajara"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"RINCONADA DE HUENTITAN","JOSE MARIA CANA",5128,44250,"Guadalajara"
"COLINAS DEL REY","AV TORREMOLINOS",3500,45130,"zapopan"
"MIRAVALLE","MAURICIO CAMPOS",512,44990,"Guadalajara"
"18 DE MARZO","FAJA DE ORO",1783,44960,"Guadalajara"
"SAN JUAN BOSCO","FELIX BERNARDEL",428,44730,"Guadalajara"
"ARENALES TAPATIOS","CROMITA",69,45066,"zapopan"
"ZONA INDUSTRIAL SUR","CALLE 16",2526,44940,"Guadalajara"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"LOMAS DEL REFUGIO","AGUA PRIETA",111,45186,"zapopan"
"JARDINES DE LA CRUZ","REYES CATOLICOS",2151,44950,"Guadalajara"
"FEDERALISMO","MONTE HIMALAYA",1416,44350,"Guadalajara"
"LAS AGUILAS","RIO TOMATLAN",800,45080,"zapopan"
"DEL FRESNO","CIPRES",1738,44900,"Guadalajara"
"U H ATLAS","RIO VOLGA",1386,44870,"Guadalajara"
"DIVISION DEL NORTE","BENEDICTO LOPEZ",399,44230,"Guadalajara"
"EL BATAN","ALCALDE",288,45190,"zapopan"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"SAN JUAN DE OCOTAN","MIGUEL MIRAMON",13,45019,"zapopan"
"LADRON DE GUEVARA","AVENIDA MEXICO",2582,44600,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"JARDINES DE LOS POET","JOSE FERNANDEZ",3365,44820,"Guadalajara"
"IXTLAHUACAN DEL RIO","HDA SAN MIGUEL",10,45260,"zapopan"
"AGRICOLA","DALIA",138,45236,"zapopan"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"MESA DE LOS OCOTES","PASEO DE LOS PI",3153,45189,"zapopan"
"RESIDENCIAL TESISTAN","AV SAN MATEO",1115,45200,"zapopan"
"5 DE MAYO","RAMON MARQUEZ",362,44970,"Guadalajara"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"MESA COLORADA PTE","NABO",543,45189,"zapopan"
"OBLATOS PONIENTE","HACIENDA DE TAL",2191,44700,"Guadalajara"
"18 DE MARZO","NATIVIDAD MACIA",1326,44960,"Guadalajara"
"RESIDENC LA ESTANCIA","WOLFANG AMADEUS",5552,45030,"zapopan"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"OBREROS D L CONSTRUC","ABEDUL",274,44900,"Guadalajara"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"AYUNTAMIENTO","BERNARDO DE BAL",1170,44620,"Guadalajara"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"LA CAMPESINA","JOSE MARIA SARM",1488,44769,"Guadalajara"
"U H EL ZALATE","JOSE FERNANDEZ",1123,44760,"Guadalajara"
"VILLA FONTANA DIAMANTE","AV JADE",86,45200,"zapopan"
"TETLAN","GIGANTES",108,44820,"Guadalajara"
"EL COLLY URBANO I","VOLCAN VESUBIO",2321,45070,"zapopan"
"CIUDAD GRANJA","CALZ DE LOS LA",164,45010,"zapopan"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"MARAVILLA","HACIENDA DE GUA",1124,44700,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"SANTA TERESITA","ALFREDO CHAVERO",16,44600,"Guadalajara"
"UNIDAD MEXICO","CDA QUERETARO",278,45120,"zapopan"
"FRACC REAL DEL BOSQUE","BERROCAL",449,45130,"zapopan"
"VIGIA I","DEL CORRAL",604,45140,"zapopan"
"REAL DE VALDEPE?S","ALAMBIQUE",51,45130,"zapopan"
"TABACHINES","PASEO DE LOS CH",3040,45188,"zapopan"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"MIRAVALLE II","HERMENEGILDO BU",4308,44990,"Guadalajara"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"MESA COLORADA PTE","ANAHUAC",52,45189,"zapopan"
"CIRCUNVAL VALLARTA","REFORMA",2749,44680,"Guadalajara"
"LOMAS DE RIO VERDE","DEMOSTENES",3550,44720,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"LA MOJONERA","DE BARAJAS",425,45134,"zapopan"
"GARIBAY","DAMASCO",785,44750,"Guadalajara"
"BARRIO ANALCO","ABASOLO",147,44450,"Guadalajara"
"REAL DE TESISTAN","PRIVADA EMILIAN",28,45200,"zapopan"
"CANTARRANAS","MIGUEL BERNAL",3327,44829,"Guadalajara"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"EL BRISE#O","CONSTELACION",7,45236,"zapopan"
"JARDINES D NVO MEXIC","SEGUNDA NORTE",5699,45138,"zapopan"
"HERMOSA PROVIN ZO TE","ARQUIMIDES",630,44770,"Guadalajara"
"VILLA DE GUADALUPE II","PABLO HIPOLITO",45,45189,"zapopan"
"LOMAS DL VALLE VI UN","CANCER",3992,45129,"zapopan"
"INF LA TUZANIA","AND OYAMELES",1124,45138,"zapopan"
"FRACC, LOS MOLINOS","PLATA",70,45200,"zapopan"
"ZALATE II","OTILIO GONZALEZ",1116,44760,"Guadalajara"
"ARANDAS","HACIENDA DEL CO",3363,44720,"Guadalajara"
"U H EL SAUZ INF","JAIME TORRES B",3090,44987,"Guadalajara"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"LOMAS DE MIRAMAR","URANIO",31,45060,"zapopan"
"VALLE REAL","AV RAMON CORONA",2748,45019,"zapopan"
"BOSQUES D L VICTORIA","PENINSULA",2713,44540,"Guadalajara"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
"PANORAMICA HUENTITAN","CALZADA",4500,44259,"Guadalajara"
"LOMAS DE MIRAMAR","PUERTO CHAMELA",314,45060,"zapopan"
"EL FORTIN","ALAMO",1359,45066,"zapopan"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"OBLATOS PONIENTE","HDA LAS CRUCES",2158,44700,"Guadalajara"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"TETLAN","JOSE RAMOS",4342,44820,"Guadalajara"
"AGRICOLA","OBELISCO",138,45236,"zapopan"
"RESIDENCIAL AZALEAS","SERVIDOR PUBLIC",1425,45230,"zapopan"
"BUGAMBILIAS","PASEO DE LA VIC",4952,45238,"zapopan"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"MESA DE LOS OCOTES","BETABEL",23,45189,"zapopan"
"HIGUERILLAS","MARIANO RODRIGU",2669,44470,"Guadalajara"
