"colonia","calle","No.Casa","C.P.","Ciudad"
"SANTA TERESITA","ALFREDO CHAVERO",16,44600,"Guadalajara"
"LOMAS DE MIRAMAR","PUERTO CHAMELA",314,45060,"zapopan"
"INF LA TUZANIA","AND OYAMELES",1124,45138,"zapopan"
"PENAL","PEDRO CELESTINO",482,44730,"Guadalajara"
"HOGARES GUADALAJARA","CIRCUNVALACION",258,44340,"Guadalajara"
"JARDINES DE LA CRUZ","REYES CATOLICOS",2151,44950,"Guadalajara"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"CONJ LOMAS ALTAS","PASEO DEL ARCO",4098,45128,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"SAN ANDRES","GOMEZ FARIAS",2319,44810,"Guadalajara"
"LA MARTINICA","PASEO DE LOS AL",79,45185,"zapopan"
"DIVISION DEL NORTE","BENEDICTO LOPEZ",399,44230,"Guadalajara"
"MESA COLORADA PTE","ANAHUAC",52,45189,"zapopan"
"ARENALES TAPATIOS","CROMITA",69,45066,"zapopan"
"TRANSITO","AV CIRCUNVALANC",479,44298,"Guadalajara"
"DEL FRESNO","CIPRES",1738,44900,"Guadalajara"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"REAL DE VALDEPE?S","ALAMBIQUE",51,45130,"zapopan"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"PRADOS TEPEYAC","PRADO DE LAS RO",308,45050,"zapopan"
"TETLAN","GIGANTES",108,44820,"Guadalajara"
"SAN ANDRES","CALLE B",165,44810,"Guadalajara"
"SAN CARLOS","LOS ANGELES",171,44460,"Guadalajara"
"AMERICANA","COLONIAS",221,44160,"Guadalajara"
"SAN ISIDRO EJIDAL","NUEVO MEXICO",250,45147,"zapopan"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"RANCHO NUEVO","CELERINO NAVARR",4135,44240,"zapopan"
"5 DE MAYO","RAMON MARQUEZ",362,44970,"Guadalajara"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"EL COLLY URBANO I","MELCHOR OCAMPO",1233,45070,"zapopan"
"18 DE MARZO","FAJA DE ORO",1783,44960,"Guadalajara"
"LOMAS DEL REFUGIO","AGUA PRIETA",111,45186,"zapopan"
"OBLATOS PONIENTE","JUAN PABLO II",3165,44700,"Guadalajara"
"MARAVILLA","SANTA JULIA",1334,44700,"Guadalajara"
"DIVISION DL NTE ZAP","FRANCISCO VILLA",27,45180,"zapopan"
"OBLATOS","BATALLA DE IZUC",2508,44700,"Guadalajara"
"BOSQUES D L VICTORIA","FAUNA",2765,44540,"Guadalajara"
"LA LOMA","LUIS PAEZ BROTC",1574,44410,"Guadalajara"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"ARANDAS","HACIENDA DEL CO",3363,44720,"Guadalajara"
"SAN RAFAEL","CARLOS GONZALEZ",280,44810,"Guadalajara"
"HELIODORO HERNANDEZ","MIGUEL SANCHEZ",3789,44720,"Guadalajara"
"LOMAS DL PARAISO 1","RAFAEL CARDENAS",290,44250,"Guadalajara"
"COLINAS DEL REY","AV TORREMOLINOS",3500,45130,"zapopan"
"LA AURORA","SALVADOR LOPEZ",1750,44790,"Guadalajara"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"EL MIRADOR","EMILIANO ZAPATA",780,44370,"Guadalajara"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"VICTOR HUGO","PRIVADA COLON",150,45190,"zapopan"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"LA PALMITA","MANUEL GONZALEZ",518,45180,"zapopan"
"EL BATAN","ANDADOR AGUA AZ",44,45190,"zapopan"
