"colonia","calle","No.Casa","C.P.","Ciudad"
"UNIDAD MEXICO","CDA QUERETARO",278,45120,"zapopan"
"EL ZAPOTE","TEZOZOMOC",4357,45050,"zapopan"
"NUEVO MEXICO","COPALITA",2711,45138,"zapopan"
"COLLY SITIO","ROMANA",6570,45036,"zapopan"
"VALLE REAL","AV RAMON CORONA",2748,45019,"zapopan"
"SAN JUAN DE OCOTAN","MIGUEL MIRAMON",13,45019,"zapopan"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"REAL DE TESISTAN","PASEO DE LA ARB",176,45200,"zapopan"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"EL COLLY URBANO I","VOLCAN VESUBIO",2321,45070,"zapopan"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"EL CENTRO","JUAREZ",400,44100,"Guadalajara"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"HERMOSA PROVIN ZO TE","TELEFONISTAS",3331,44770,"Guadalajara"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"PARQUE INDUST EL ALA","FUNDICION",2131,44490,"Guadalajara"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"LOMAS DE MIRAMAR","PUERTO CHAMELA",314,45060,"zapopan"
"LOMAS DL PARAISO 1","RAFAEL CARDENAS",290,44250,"Guadalajara"
"RANCHO NUEVO","DOMINGO RAMIRE",1150,44240,"Guadalajara"
"ARENALES TAPATIOS","CROMITA",69,45066,"zapopan"
"HUENTITAN EL BAJO","VOLCAN FUJIYAMA",4413,44250,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"ARENALES TAPATIOS","AV GUADALUPE",132,45066,"zapopan"
"BOSQUE ESCONDIDO","PASEO DE LOS AL",10,45180,"zapopan"
"INDIGENA D MEZQUITAN","18 DE MARZO",409,45190,"zapopan"
"SAN VICENTE","PUERTO SOTO LA",2280,44330,"Guadalajara"
"AMERICANA","MEXICALLTZINGO",1944,44160,"Guadalajara"
"LA FLORIDA","FLORAL",15,45234,"zapopan"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"LADRON DE GUEVARA","AVENIDA MEXICO",2582,44600,"Guadalajara"
"VILLA FONTANA DIAMANTE","FUENTE GRAFITO",8884,45200,"zapopan"
"INF LA TUZANIA","AV DE LAS PALME",1246,45138,"zapopan"
"OBREROS D L CONSTRUC","ABEDUL",274,44900,"Guadalajara"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"VILLA FONTANA DIAMANTE","FUENTE BRILLANT",1730,45200,"zapopan"
