"colonia","calle","No.Casa","C.P.","Ciudad"
"SAN RAFAEL","CARLOS GONZALEZ",280,44810,"Guadalajara"
"CIRCUNVAL VALLARTA","REFORMA",2749,44680,"Guadalajara"
"COPALITA","AV AMARANTO",175,45200,"zapopan"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"FRACC REAL DEL BOSQUE","BERROCAL",449,45130,"zapopan"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"LOMAS DE MIRAMAR","URANIO",31,45060,"zapopan"
"VALENTIN GOMEZ FARIA","CANUTO ELIAS",3414,44977,"Guadalajara"
"EL BATAN","ALCALDE",288,45190,"zapopan"
"AMERICANA","MEXICALLTZINGO",1944,44160,"Guadalajara"
"FRACC HACIENDA LAS PALOMAS","CALLE DEL AGUA",365,45200,"zapopan"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"LOMAS DE RIO VERDE","DEMOSTENES",3550,44720,"Guadalajara"
"LOMAS DEL CENTINELA","PASEO DEL OLMO",328,45187,"zapopan"
"BALCONES DE OBLATOS","HACIENDA DEL CA",2275,44720,"Guadalajara"
"EL COLLY URBANO I","VOLCAN VESUBIO",2321,45070,"zapopan"
"RESIDENCIAL TESISTAN","AV SAN MATEO",1115,45200,"zapopan"
"18 DE MARZO","FAJA DE ORO",1783,44960,"Guadalajara"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"INDEPENDENCIA PTE","ROGELIO BACON",1676,44290,"Guadalajara"
"LADRON DE GUEVARA","FRAY LUIS DE PA",443,44600,"Guadalajara"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"SAN JUAN DE OCOTAN","MIGUEL MIRAMON",13,45019,"zapopan"
"JARDINES D NVO MEXIC","SEGUNDA NORTE",5699,45138,"zapopan"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"PASEOS DEL BRISE#O","PASEOS DE LOS I",1,45236,"zapopan"
"RESIDENCIAL GUADALUP","MISION SAN PATR",350,45030,"zapopan"
"PENAL","PEDRO CELESTINO",482,44730,"Guadalajara"
"FRACC PALERMO","MARINA",204,45200,"zapopan"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"DEL FRESNO","CIPRES",1738,44900,"Guadalajara"
"TETLAN","AURELIA GUEVARA",3518,44820,"Guadalajara"
"INDIGENA D MEZQUITAN","18 DE MARZO",409,45190,"zapopan"
"LINDAVISTA","ALLENDE",216,45169,"zapopan"
"ARENALES TAPATIOS","DIAMANTE",114,45066,"zapopan"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"BOSQUES D L VICTORIA","PENINSULA",2713,44540,"Guadalajara"
"COLINAS DE ATEMAJAC","AV AURELIO ORTE",1176,45170,"zapopan"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"ECHEVERRIA","JOSE ROJO",958,44970,"Guadalajara"
"MODERNA","AV ESPANA",1092,44190,"Guadalajara"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"PANORAMICA HUENTITAN","CALZADA",4500,44259,"Guadalajara"
"RINCONADA DE HUENTITAN","JOSE MARIA CANA",5128,44250,"Guadalajara"
"ZALATE II","OTILIO GONZALEZ",1116,44760,"Guadalajara"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"EL MIRADOR","EMILIANO ZAPATA",780,44370,"Guadalajara"
"CANTEROS","PRIVADA CANTERO",1564,45190,"zapopan"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"EL CENTRO","JUAREZ",400,44100,"Guadalajara"
"PARQUE REVOLUCION","AV MIGUEL HIDAL",469,44100,"Guadalajara"
"FRACC, LOS MOLINOS","CTO OBSIDIANA",39,45200,"zapopan"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"SANTA FE","EMILIANO ZAPATA",574,45168,"zapopan"
"RINCONADA DEL BOSQUE","AV ECONOMOS",6951,44510,"Guadalajara"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"NUEVO MEXICO","COPALITA",2711,45138,"zapopan"
"SANTA ANA TEPETITLAN","HIDALGO",35,45230,"zapopan"
"ARENALES TAPATIOS","AV GUADALUPE",132,45066,"zapopan"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"SANTA MARIA","SAN MATEO",1407,44350,"Guadalajara"
"CAMPO REAL","AV CAMPO REAL P",353,45134,"zapopan"
"MESA COLORADA PTE","NABO",543,45189,"zapopan"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"GENERAL REAL","PENSADOR MEXICA",1070,44400,"Guadalajara"
"COLLY SITIO","ROMANA",6570,45036,"zapopan"
"U H EL SAUZ INF","JAIME TORRES B",3090,44987,"Guadalajara"
"VALENTIN GOMEZ FARIA","JUAN DE DIOS CO",12,44977,"Guadalajara"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"TRANSITO","AV CIRCUNVALANC",479,44298,"Guadalajara"
"SAN VICENTE","PUERTO SOTO LA",2280,44330,"Guadalajara"
"LOS ROBLES","CALLE LOS ROBLE",395,45134,"zapopan"
"MARAVILLA","SANTA JULIA",1334,44700,"Guadalajara"
"SANTA ROSA","MELQUIADES CAMP",2289,44700,"Guadalajara"
"VILLA FONTANA DIAMANTE","FUENTE GRAFITO",8884,45200,"zapopan"
"RINCONADA DL AUDITOR","ALBERTO CINTA",39,45180,"zapopan"
"FRACC JARDINES DE BELEN","TORONJA",41,45200,"zapopan"
"MIGUEL HIDALGO","15 DE SEPTIEMBR",3017,45186,"zapopan"
"VIGIA I","DEL CORRAL",604,45140,"zapopan"
"DIVISION DEL NORTE","BENEDICTO LOPEZ",399,44230,"Guadalajara"
"TABACHINES","PASEO DE LOS AV",3101,45188,"zapopan"
"RANCHO NUEVO","DOMINGO RAMIRE",1150,44240,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3308,45085,"zapopan"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"FRACC, LOS MOLINOS","PLATA",70,45200,"zapopan"
"EL FORTIN","ALAMO",1359,45066,"zapopan"
"LOMAS DEL PARADERO","LUIS QUINTANAR",746,44840,"Guadalajara"
"LAGOS D OTE ZONA TET","LICURGO",336,44770,"Guadalajara"
"HIGUERILLAS","MARIANO RODRIGU",2669,44470,"Guadalajara"
"CANTARRANAS","MIGUEL BERNAL",3327,44829,"Guadalajara"
"INF LA TUZANIA","AV DE LAS PALME",1246,45138,"zapopan"
