"colonia","calle","No.Casa","C.P.","Ciudad"
"VIRREYES RESIDENCIAL","AV NACIONES UNI",6904,45110,"zapopan"
"VIGIA I","DEL CORRAL",604,45140,"zapopan"
"VILLA FONTANA DIAMANTE","AV JADE",86,45200,"zapopan"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"VALLARTA SAN JORGE","TUCIDIDES",156,44690,"Guadalajara"
"JARDINES DE LOS POET","JOSE FERNANDEZ",3365,44820,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"SAN CARLOS","LOS ANGELES",171,44460,"Guadalajara"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"PASEOS DEL SOL","TOMAS BALCAZAR",5404,45079,"zapopan"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"LOMAS DL VALLE VI UN","CANCER",3992,45129,"zapopan"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"MIRAVALLE","JOSE JARAMILLO",526,44990,"Guadalajara"
"RINCONADA DE HUENTITAN","JOSE MARIA CANA",5128,44250,"Guadalajara"
"U. H. BENITO JUAREZ II","CREDITO",4049,44770,"Guadalajara"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"FRACC JARDINES DE BELEN","TORONJA",41,45200,"zapopan"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",26,45116,"zapopan"
"AYUNTAMIENTO","BERNARDO DE BAL",1170,44620,"Guadalajara"
"RESIDENCIAL GUADALUP","MISION SAN PATR",350,45030,"zapopan"
"PRADOS TEPEYAC","PRADO DE LAS GA",4468,45050,"zapopan"
"VILLA DE GUADALUPE II","PABLO HIPOLITO",45,45189,"zapopan"
"EL MIRADOR","EMILIANO ZAPATA",780,44370,"Guadalajara"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"JARDINES DE LA PAZ","TEJEDORES",569,44860,"Guadalajara"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"BATALLON SN PATRICIO","CALZADA INDEPEN",503,44300,"Guadalajara"
"RESIDENCIAL TESISTAN","AV SAN MATEO",1115,45200,"zapopan"
"EL FORTIN","ALAMO",1359,45066,"zapopan"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"COLINAS D LA PRIMAVE","CASCADA",147,45066,"zapopan"
"MESA DE LOS OCOTES","BETABEL",23,45189,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
