"colonia","calle","No.Casa","C.P.","Ciudad"
"PARAISOS DEL COLLY","GALEANA",1068,45069,"zapopan"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"ARENALES TAPATIOS","CROMITA",69,45066,"zapopan"
"HERMOSA PROVIN ZO TE","ARQUIMIDES",630,44770,"Guadalajara"
"UNIDAD MEXICO","CDA QUERETARO",278,45120,"zapopan"
"FRACC REAL DEL BOSQUE","BERROCAL",449,45130,"zapopan"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",26,45116,"zapopan"
"FRACC REAL DEL BOSQUE","CALLE CAMPO REA",371,45130,"zapopan"
"FRACC CUSPIDE","SAN MATEO 1155",27,45200,"zapopan"
"EL HUMEDO","RIO ACAPONETA",2,45200,"zapopan"
"TETLAN","GIGANTES",108,44820,"Guadalajara"
"NUEVO MEXICO","COPALITA",2711,45138,"zapopan"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"AGRICOLA","OBELISCO",138,45236,"zapopan"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"U. H. BENITO JUAREZ II","CREDITO",4049,44770,"Guadalajara"
"MODERNA","AV ESPANA",1092,44190,"Guadalajara"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"CAMPO REAL","AV CAMPO REAL P",353,45134,"zapopan"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"EL COLLY URBANO I","VOLCAN VESUBIO",2321,45070,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"INF LA TUZANIA","CAPULINES",40,45138,"zapopan"
"SAN JUAN BOSCO","FELIX BERNARDEL",428,44730,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"TABACHINES","PASEO DE LOS AV",3101,45188,"zapopan"
"GENERAL REAL","PENSADOR MEXICA",1070,44400,"Guadalajara"
"EL CENTRO","JUAREZ",400,44100,"Guadalajara"
"BUGAMBILIAS","PASEO DE LA VIC",4952,45238,"zapopan"
"OBLATOS PONIENTE","HACIENDA LA GAV",3208,44700,"Guadalajara"
"TRANSITO","AV CIRCUNVALANC",479,44298,"Guadalajara"
"GENERAL REAL","MARCONI",17,44400,"Guadalajara"
"SAN VICENTE","MONTES MARCIANO",2173,44330,"Guadalajara"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"JARDINES DE LOS POET","JOSE FERNANDEZ",3365,44820,"Guadalajara"
"LOS ROBLES","CALLE LOS ROBLE",395,45134,"zapopan"
