"colonia","calle","No.Casa","C.P.","Ciudad"
"LADRON DE GUEVARA","FRAY LUIS DE PA",443,44600,"Guadalajara"
"HOGARES GUADALAJARA","CIRCUNVALACION",258,44340,"Guadalajara"
"LOMAS DEL CENTINELA","PASEO DEL OLMO",328,45187,"zapopan"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"ECHEVERRIA","JOSE ARTEAGA",2985,44970,"Guadalajara"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"ELECTRICISTAS","RAMOS ARIZPE",451,44810,"Guadalajara"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"RESIDENC LA ESTANCIA","WOLFANG AMADEUS",5552,45030,"zapopan"
"AGRICOLA","DALIA",138,45236,"zapopan"
"IXTLAHUACAN DEL RIO","HDA SAN MIGUEL",10,45260,"zapopan"
"PASEOS DEL SOL","TOMAS BALCAZAR",5404,45079,"zapopan"
"SAN JUAN DE OCOTAN","MIGUEL MIRAMON",13,45019,"zapopan"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"MESA COLORADA PTE","NABO",543,45189,"zapopan"
"GENERAL REAL","PENSADOR MEXICA",1070,44400,"Guadalajara"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"LOMAS DE RIO VERDE","DEMOSTENES",3550,44720,"Guadalajara"
"RESIDENCIAL LA CRUZ","ISLA ABACO",3086,44950,"Guadalajara"
"RESIDENCIAL TESISTAN","PARQUE MEXICANO",150,45200,"zapopan"
"LA ESTRADA","HIDALAGO",6,45200,"zapopan"
"PRADOS TEPEYAC","PRADO DE LAS GA",4468,45050,"zapopan"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"BARRANQUITAS","PINO SUAREZ",879,44270,"Guadalajara"
"COUNTRY CLUB","AV JORGE ALVARE",1535,44610,"Guadalajara"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"TABACHINES","PASEO DE LOS CH",3040,45188,"zapopan"
"SAN ISIDRO EJIDAL","NUEVO MEXICO",250,45147,"zapopan"
"BOSQUES D L VICTORIA","PENINSULA",2713,44540,"Guadalajara"
"VILLA DE GUADALUPE II","PABLO HIPOLITO",45,45189,"zapopan"
"PARQUE INDUST EL ALA","FUNDICION",2131,44490,"Guadalajara"
"ZONA INDUSTRIAL SUR","CALLE 16",2526,44940,"Guadalajara"
"18 DE MARZO","FAJA DE ORO",1783,44960,"Guadalajara"
"U H EL SAUZ INF","JAIME TORRES B",3090,44987,"Guadalajara"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"INDIGENA D MEZQUITAN","18 DE MARZO",409,45190,"zapopan"
"U H FOVISSSTE ESTADI","LISBOA",28,44307,"Guadalajara"
"AMERICANA","COLONIAS",221,44160,"Guadalajara"
"U. H. BENITO JUAREZ II","CREDITO",4049,44770,"Guadalajara"
"VALLE REAL","PASEO SAN ARTUR",685,45019,"zapopan"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
"LOMAS DE MIRAMAR","PUERTO TAMPICO",80,45060,"zapopan"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"FRACC, LOS MOLINOS","CTO OBSIDIANA",39,45200,"zapopan"
"EJIDAL LOMA BONITA","PEDRO MORENO",3205,45085,"zapopan"
"COLINAS D LA PRIMAVE","CASCADA",147,45066,"zapopan"
"AYUNTAMIENTO","BERNARDO DE BAL",1170,44620,"Guadalajara"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"U H EL ZALATE","JOSE FERNANDEZ",1123,44760,"Guadalajara"
"MARAVILLA","HACIENDA DE GUA",1124,44700,"Guadalajara"
"MIRAVALLE II","HERMENEGILDO BU",4308,44990,"Guadalajara"
"SANTA ANA TEPETITLAN","HIDALGO",35,45230,"zapopan"
"VALENTIN GOMEZ FARIA","CANUTO ELIAS",3414,44977,"Guadalajara"
"SAN ANDRES","GOMEZ FARIAS",2319,44810,"Guadalajara"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"U H ATLAS","RIO VOLGA",1386,44870,"Guadalajara"
"RESIDENCIAL AZALEAS","SERVIDOR PUBLIC",1425,45230,"zapopan"
"RESIDENCIAL TESISTAN","AV SAN MATEO",1115,45200,"zapopan"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"FRACC, LOS MOLINOS","PLATA",70,45200,"zapopan"
"INDEPENDENCIA PTE","ROGELIO BACON",1676,44290,"Guadalajara"
"SANTA FE","EMILIANO ZAPATA",574,45168,"zapopan"
"COPALITA","AV AMARANTO",175,45200,"zapopan"
"LA AURORA","SALVADOR LOPEZ",1750,44790,"Guadalajara"
"VALLE DE LOS MOLINOS","BERNA",75,45200,"zapopan"
"JARDINES  DEL BOSQUE","PLACERES",806,44520,"zapopan"
"MIRAVALLE","JOSE JARAMILLO",526,44990,"Guadalajara"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"RANCHO NUEVO","CELERINO NAVARR",4135,44240,"zapopan"
"BATALLON SN PATRICIO","CALZADA INDEPEN",503,44300,"Guadalajara"
"MESA DE LOS OCOTES","BETABEL",23,45189,"zapopan"
"BOSQUES D L VICTORIA","FAUNA",2765,44540,"Guadalajara"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"MARAVILLA","SANTA JULIA",1334,44700,"Guadalajara"
"BENITO JUAREZ","JUAN MANUEL RUV",1992,45199,"Guadalajara"
"LOMAS DEL REFUGIO","AGUA PRIETA",111,45186,"zapopan"
"PANORAMICA HUENTITAN","CALZADA",4500,44259,"Guadalajara"
"REAL DE VALDEPE?S","CALLE G 1470 TO",1470,45130,"zapopan"
"LADRON DE GUEVARA","AVENIDA MEXICO",2582,44600,"Guadalajara"
"DIVISION DEL NORTE","BENEDICTO LOPEZ",399,44230,"Guadalajara"
"REAL DE VALDEPE?S","RINCONADA DEL C",1327,45130,"zapopan"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"LOMAS DE MIRAMAR","PUERTO CHAMELA",314,45060,"zapopan"
"LOMAS DL VALLE VI UN","CANCER",3992,45129,"zapopan"
"RINCONADA DL AUDITOR","ALBERTO CINTA",39,45180,"zapopan"
"DIVISION DL NTE ZAP","FRANCISCO VILLA",27,45180,"zapopan"
"EL BRISE#O","CONSTELACION",7,45236,"zapopan"
"DIVISION DEL NORTE","TERUEL",3693,44230,"Guadalajara"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"REAL DE TESISTAN","PASEO DE LA ARB",176,45200,"zapopan"
"CIUDAD GRANJA","CALZ DE LOS LA",164,45010,"zapopan"
"SANTA ROSA","MELQUIADES CAMP",2289,44700,"Guadalajara"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"COLINAS DEL REY","AV TORREMOLINOS",3500,45130,"zapopan"
"MODERNA","AV ESPANA",1092,44190,"Guadalajara"
"SANTA MARIA","SAN MATEO",1407,44350,"Guadalajara"
"GENERAL REAL","MARCONI",17,44400,"Guadalajara"
"VIGIA I","DEL CORRAL",604,45140,"zapopan"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA LA PUR",2415,44700,"Guadalajara"
"LOMAS DE MIRAMAR","URANIO",31,45060,"zapopan"
"VILLA FONTANA DIAMANTE","AV LAS TORRES",1896,45200,"zapopan"
"OBREROS D L CONSTRUC","ABEDUL",274,44900,"Guadalajara"
"VILLA FONTANA DIAMANTE","FUENTE BRILLANT",1730,45200,"zapopan"
"FRACC PALERMO","MARINA",204,45200,"zapopan"
"EL HUMEDO","RIO ACAPONETA",2,45200,"zapopan"
"PROGRESO","FRANCISCO SARAB",235,44730,"Guadalajara"
"POLANQUITO","MIGUEL MACIAS",3653,44969,"Guadalajara"
"MESA COLORADA PTE","ANAHUAC",52,45189,"zapopan"
"LOMAS DL PARAISO 1","RAFAEL CARDENAS",290,44250,"Guadalajara"
