"colonia","calle","No.Casa","C.P.","Ciudad"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"RESIDENCIAL LA CRUZ","ISLA ABACO",3086,44950,"Guadalajara"
"REAL DE TESISTAN","PRIVADA EMILIAN",28,45200,"zapopan"
"MIGUEL HIDALGO","15 DE SEPTIEMBR",3017,45186,"zapopan"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"LOMAS DE MIRAMAR","PUERTO TAMPICO",80,45060,"zapopan"
"SANTA ROSA","MELQUIADES CAMP",2289,44700,"Guadalajara"
"BALCONES DE OBLATOS","HACIENDA DEL CA",2275,44720,"Guadalajara"
"MESA DE LOS OCOTES","PASEO DE LOS PI",3153,45189,"zapopan"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"LA LOMA","LUIS PAEZ BROTC",1574,44410,"Guadalajara"
"VILLA FONTANA DIAMANTE","FUENTE GRAFITO",8884,45200,"zapopan"
"1RO DE MAYO 1A SECCI","CARLOS A CARRIL",527,44970,"Guadalajara"
"PRADOS TEPEYAC","PRADO DE LAS RO",308,45050,"zapopan"
"CAMPO REAL","AV CAMPO REAL P",353,45134,"zapopan"
"VILLA FONTANA DIAMANTE","AV LAS TORRES",1896,45200,"zapopan"
"MARAVILLA","SANTA JULIA",1334,44700,"Guadalajara"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"SAN RAFAEL","CARLOS GONZALEZ",280,44810,"Guadalajara"
"INDEPENDENCIA PTE","ROGELIO BACON",1676,44290,"Guadalajara"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"COUNTRY CLUB","AV JORGE ALVARE",1535,44610,"Guadalajara"
"BATALLON SN PATRICIO","CALZADA INDEPEN",503,44300,"Guadalajara"
"EL BATAN","ANDADOR AGUA AZ",44,45190,"zapopan"
"AGRICOLA","OBELISCO",138,45236,"zapopan"
"COLINAS DEL REY","AV TORREMOLINOS",3500,45130,"zapopan"
"OBLATOS PONIENTE","HACIENDA DE TAL",2191,44700,"Guadalajara"
"18 DE MARZO","FAJA DE ORO",1783,44960,"Guadalajara"
"JARDINES DE LA CRUZ","ISLA ASENCION",3108,44950,"Guadalajara"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"LOS ROBLES","CALLE LOS ROBLE",395,45134,"zapopan"
"BARRIO ANALCO","ABASOLO",147,44450,"Guadalajara"
"JARDINES DEL COUNTRY","ENRIQUE DIAZ DE",2336,44210,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"EL ZAPOTE","TEZOZOMOC",4357,45050,"zapopan"
"OBLATOS PONIENTE","HACIENDA LA PUR",2415,44700,"Guadalajara"
"ARANDAS","HACIENDA DEL CO",3363,44720,"Guadalajara"
"RANCHO NUEVO","DOMINGO RAMIRE",1150,44240,"Guadalajara"
"CONDOMINIO MALAGA","AV CENTRAL",1351,45117,"zapopan"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"SANTA ELENA","ASTURIAS",1581,44230,"Guadalajara"
"AMERICANA","COLONIAS",221,44160,"Guadalajara"
"PANORAMICA HUENTITAN","CALZADA",4500,44259,"Guadalajara"
"BLANCO Y CUELLAR","EMILIO RABAZA",2132,44730,"Guadalajara"
"HELIODORO HERNANDEZ","CELIA PACHECO",3713,44720,"Guadalajara"
"ARENALES TAPATIOS","AV GUADALUPE",132,45066,"zapopan"
"REAL DE VALDEPE?S","RINCONADA DEL C",1327,45130,"zapopan"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"VILLAS SAN IGNACIO","PABLO QUIROGA",215,45180,"zapopan"
"LA MOJONERA","DE BARAJAS",425,45134,"zapopan"
"OBLATOS PONIENTE","HDA LAS CRUCES",2158,44700,"Guadalajara"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"PARAISOS DEL COLLY","GALEANA",1068,45069,"zapopan"
"FRACC HACIENDA LAS PALOMAS","CALLE DEL AGUA",365,45200,"zapopan"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"RESIDENCIAL AZALEAS","SERVIDOR PUBLIC",1425,45230,"zapopan"
"FRACC, LOS MOLINOS","CTO OBSIDIANA",39,45200,"zapopan"
"U H FOVISSSTE ESTADI","LISBOA",28,44307,"Guadalajara"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"FEDERALISMO","MONTE HIMALAYA",1416,44350,"Guadalajara"
"SAN VICENTE","MONTES MARCIANO",2173,44330,"Guadalajara"
"EL FORTIN","ALAMO",1359,45066,"zapopan"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",5430,45116,"zapopan"
"LAS AGUILAS","RIO TOMATLAN",800,45080,"zapopan"
"RANCHO NUEVO","CELERINO NAVARR",4135,44240,"zapopan"
"TETLAN","JOSE RAMOS",4342,44820,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"JARDINES DE LOS POET","JOSE FERNANDEZ",3365,44820,"Guadalajara"
"TALPITA","SANTO TOMAS",1786,44719,"Guadalajara"
"JARDINES DEL NILO","MANUEL RIVERA C",2818,44860,"Guadalajara"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"VILLA FONTANA DIAMANTE","AV JADE",86,45200,"zapopan"
"HDA SAN ISIDRO","EJIDO",570,45147,"zapopan"
"ELECTRICISTAS","RAMOS ARIZPE",451,44810,"Guadalajara"
"EL HUMEDO","RIO ACAPONETA",2,45200,"zapopan"
"ARENALES TAPATIOS","DIAMANTE",114,45066,"zapopan"
"LOS ALMENDROS","ANTONIO GARCIA",3912,44240,"Guadalajara"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"ZONA INDUSTRIAL SUR","CALLE 16",2526,44940,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"ARENALES TAPATIOS","CROMITA",69,45066,"zapopan"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3205,45085,"zapopan"
"VICTOR HUGO","PRIVADA COLON",150,45190,"zapopan"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"JARDINES DE STA ISAB","COMBATE DE SACR",228,44300,"Guadalajara"
"SAN ANDRES","GOMEZ FARIAS",2319,44810,"Guadalajara"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"REAL QUINTAS DEL VALLE","CIRCUITO REAL S",0,45138,"zapopan"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"CONJ LOMAS ALTAS","PASEO DEL ARCO",4098,45128,"zapopan"
"LA FLORIDA","FLORAL",15,45234,"zapopan"
