"colonia","calle","No.Casa","C.P.","Ciudad"
"LOMAS DEL REFUGIO","AGUA PRIETA",111,45186,"zapopan"
"REAL QUINTAS DEL VALLE","CIRCUITO REAL S",0,45138,"zapopan"
"PASEOS DEL BRISE#O","PASEOS DE LOS I",1,45236,"zapopan"
"SANTA ELENA","ASTURIAS",1581,44230,"Guadalajara"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"HERMOSA PROVIN ZO TE","TELEFONISTAS",3331,44770,"Guadalajara"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"TABACHINES","PASEO DE LOS AV",3101,45188,"zapopan"
"EJIDAL LOMA BONITA","PEDRO MORENO",3308,45085,"zapopan"
"VILLA UNIVESITARIA","AV PATRIA",1446,45110,"zapopan"
"BLANCO Y CUELLAR","EMILIO RABAZA",2132,44730,"Guadalajara"
"FRACC REAL DEL BOSQUE","CALLE CAMPO REA",371,45130,"zapopan"
"VALENTIN GOMEZ FARIA","JUAN DE DIOS CO",12,44977,"Guadalajara"
"MARAVILLA","MESA DEL NORTE",1272,44700,"Guadalajara"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",26,45116,"zapopan"
"JARDINES DE STA ISAB","COMBATE DE SACR",228,44300,"Guadalajara"
"INF LA TUZANIA","AV DE LAS PALME",1246,45138,"zapopan"
"DIVISION DEL NORTE","TERUEL",3693,44230,"Guadalajara"
"EL COLLY URBANO I","VOLCAN VESUBIO",2321,45070,"zapopan"
"CIRCUNVAL VALLARTA","REFORMA",2749,44680,"Guadalajara"
"VILLA FONTANA DIAMANTE","FUENTE GRAFITO",8884,45200,"zapopan"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"BALCONES DE OBLATOS","HACIENDA DEL CA",2275,44720,"Guadalajara"
"HDA SAN ISIDRO","LA VILLA",455,45147,"zapopan"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"BARRIO ANALCO","ABASOLO",147,44450,"Guadalajara"
"UNIDAD MEXICO","CDA QUERETARO",278,45120,"zapopan"
"SAN CARLOS","LOS ANGELES",171,44460,"Guadalajara"
"5 DE MAYO","RAMON MARQUEZ",362,44970,"Guadalajara"
"VILLA FONTANA DIAMANTE","AV LAS TORRES",1896,45200,"zapopan"
"RINCONADA DE HUENTITAN","JOSE MARIA CANA",5128,44250,"Guadalajara"
"HOGARES GUADALAJARA","CIRCUNVALACION",258,44340,"Guadalajara"
"LINDAVISTA","ALLENDE",216,45169,"zapopan"
"ECHEVERRIA","JOSE ROJO",958,44970,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3205,45085,"zapopan"
"PRADOS  GUADALUPE","G ROSSINI",428,45030,"zapopan"
"MARAVILLA","HACIENDA DE GUA",1124,44700,"Guadalajara"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"SANTA MARIA","SAN MATEO",1407,44350,"Guadalajara"
"SANTA ROSA","MELQUIADES CAMP",2289,44700,"Guadalajara"
"FRACC CUSPIDE","VALLE DE TESIST",198,45200,"zapopan"
"FRACC REAL DEL BOSQUE","BERROCAL",449,45130,"zapopan"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"LAS AGUILAS","RIO TOMATLAN",800,45080,"zapopan"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"VICENTE GUERRERO","C CEDROS",15,45134,"zapopan"
"RINCONADA DL AUDITOR","ALBERTO CINTA",39,45180,"zapopan"
"LOMAS DEL GALLO","FERNANDO SOLIS",1338,44760,"Guadalajara"
"HELIODORO HERNANDEZ","MIGUEL SANCHEZ",3789,44720,"Guadalajara"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"VALLARTA SAN JORGE","TUCIDIDES",156,44690,"Guadalajara"
"PROGRESO","FRANCISCO SARAB",235,44730,"Guadalajara"
"COLLY SITIO","ROMANA",6570,45036,"zapopan"
"PARQUE INDUST EL ALA","FUNDICION",2131,44490,"Guadalajara"
"OBLATOS PONIENTE","HDA LAS CRUCES",2158,44700,"Guadalajara"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"FRACC CUSPIDE","CAMINO AL POTRE",1200,45200,"zapopan"
"LOMAS DE MIRAMAR","PUERTO TAMPICO",80,45060,"zapopan"
"EL MIRADOR","EMILIANO ZAPATA",780,44370,"Guadalajara"
"RESIDENCIAL AZALEAS","SERVIDOR PUBLIC",1425,45230,"zapopan"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"LA MOJONERA","DE BARAJAS",425,45134,"zapopan"
"VIGIA I","DEL CORRAL",604,45140,"zapopan"
"SANTA TERESITA","ALFREDO CHAVERO",16,44600,"Guadalajara"
"BEATRIZ HERNANDEZ","MARGARITA GUTIE",3497,44760,"Guadalajara"
"CANTEROS","PRIVADA CANTERO",1564,45190,"zapopan"
"TABACHINES","PASEO DE LOS CH",3040,45188,"zapopan"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"MESA DE LOS OCOTES","BETABEL",23,45189,"zapopan"
"JARDINES DEL NILO","MANUEL RIVERA C",2818,44860,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA LA GAV",3208,44700,"Guadalajara"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"LA LOMA","LUIS PAEZ BROTC",1574,44410,"Guadalajara"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"MODERNA","AV ESPANA",1092,44190,"Guadalajara"
"CONDOMINIO MALAGA","AV CENTRAL",1351,45117,"zapopan"
"SAN RAFAEL","CARLOS GONZALEZ",280,44810,"Guadalajara"
"VILLA DE GUADALUPE II","PABLO HIPOLITO",45,45189,"zapopan"
"TETLAN","JOSE RAMOS",4342,44820,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"OBLATOS PONIENTE","JUAN PABLO II",3165,44700,"Guadalajara"
"ARANDAS","HACIENDA DEL CO",3363,44720,"Guadalajara"
"VALLE DE LOS MOLINOS","BERNA",75,45200,"zapopan"
"VALENTIN GOMEZ FARIA","CANUTO ELIAS",3414,44977,"Guadalajara"
"SANTA ANA TEPETITLAN","HIDALGO",35,45230,"zapopan"
"RINCONADA DEL BOSQUE","AV ECONOMOS",6951,44510,"Guadalajara"
"MIRAMAR","BAHIA MAGDALENA",5,45060,"zapopan"
"ELECTRICISTAS","RAMOS ARIZPE",451,44810,"Guadalajara"
"BOSQUE ESCONDIDO","PASEO DE LOS AL",10,45180,"zapopan"
"LOMAS DE POLANCO","RAMON ALCORTA",1597,44960,"Guadalajara"
"EL BRISE#O","CONSTELACION",7,45236,"zapopan"
"CAMPO REAL","AV CAMPO REAL P",353,45134,"zapopan"
"1RO DE MAYO 1A SECCI","CARLOS A CARRIL",527,44970,"Guadalajara"
"18 DE MARZO","FAJA DE ORO",1783,44960,"Guadalajara"
