"colonia","calle","No.Casa","C.P.","Ciudad"
"LAGOS D OTE ZONA TET","LICURGO",336,44770,"Guadalajara"
"HELIODORO HERNANDEZ","CELIA PACHECO",3713,44720,"Guadalajara"
"18 DE MARZO","NATIVIDAD MACIA",1326,44960,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3308,45085,"zapopan"
"CANTARRANAS","MIGUEL BERNAL",3327,44829,"Guadalajara"
"DEL FRESNO","CIPRES",1738,44900,"Guadalajara"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"FRACC REAL DEL BOSQUE","BERROCAL",449,45130,"zapopan"
"MESA DE LOS OCOTES","BETABEL",23,45189,"zapopan"
"PARQUE INDUST EL ALA","FUNDICION",2131,44490,"Guadalajara"
"FRACC JARDINES DE BELEN","TORONJA",41,45200,"zapopan"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"MEZQUITAN COUNTRY","DIAGONAL NAJERA",1876,44260,"Guadalajara"
"VALLARTA SAN JORGE","TUCIDIDES",156,44690,"Guadalajara"
"SAN JUAN DE OCOTAN","MIGUEL MIRAMON",13,45019,"zapopan"
"TABACHINES","PASEO DE LOS AV",3101,45188,"zapopan"
"TRANSITO","AV CIRCUNVALANC",479,44298,"Guadalajara"
"RESIDENCIAL TESISTAN","AV SAN MATEO",1115,45200,"zapopan"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"REAL QUINTAS DEL VALLE","CIRCUITO REAL S",0,45138,"zapopan"
"U H FOVISSSTE ESTADI","LISBOA",28,44307,"Guadalajara"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"LA AURORA","SALVADOR LOPEZ",1750,44790,"Guadalajara"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA LA PUR",2415,44700,"Guadalajara"
"EL HUMEDO","RIO ACAPONETA",2,45200,"zapopan"
"LOMAS DEL PRADERO","AV PRESIDENTE",2235,44840,"Guadalajara"
"POLANQUITO","MIGUEL MACIAS",3653,44969,"Guadalajara"
"SAN ANDRES","GOMEZ FARIAS",2319,44810,"Guadalajara"
"SAN RAFAEL","CARLOS GONZALEZ",280,44810,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN FUJIYAMA",4413,44250,"Guadalajara"
"EL BATAN","ALCALDE",288,45190,"zapopan"
"BATALLON SN PATRICIO","CALZADA INDEPEN",503,44300,"Guadalajara"
"INF LA TUZANIA","AV DE LAS PALME",1246,45138,"zapopan"
"AMERICANA","COLONIAS",221,44160,"Guadalajara"
"ECHEVERRIA","JOSE ROJO",958,44970,"Guadalajara"
"UNIDAD BELISARIO DOM","JOSE LUIS MORA",1212,44329,"Guadalajara"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"SAN VICENTE","MONTES MARCIANO",2173,44330,"Guadalajara"
"HERMOSA PROVIN ZO TE","ARQUIMIDES",630,44770,"Guadalajara"
"RINCONADA DE HUENTITAN","JUAN CARRASCO",5234,44250,"Guadalajara"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"LOMAS DEL GALLO","FERNANDO SOLIS",1338,44760,"Guadalajara"
"COUNTRY CLUB","AV JORGE ALVARE",1535,44610,"Guadalajara"
"OBLATOS PONIENTE","HDA LAS CRUCES",2158,44700,"Guadalajara"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"SANTA FE","EMILIANO ZAPATA",574,45168,"zapopan"
"RESIDENCIAL AZALEAS","SERVIDOR PUBLIC",1425,45230,"zapopan"
"RINCONADA DE HUENTITAN","JOSE MARIA CANA",5128,44250,"Guadalajara"
"MIRAVALLE II","HERMENEGILDO BU",4308,44990,"Guadalajara"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"NUEVO MEXICO","COPALITA",2711,45138,"zapopan"
"EL BRISE#O","CONSTELACION",7,45236,"zapopan"
"BALCONES DE OBLATOS","HACIENDA DEL CA",2275,44720,"Guadalajara"
"EL BRISE?","PASEO DE LA MAT",200,45236,"zapopan"
"VILLA FONTANA DIAMANTE","AV LAS TORRES",1896,45200,"zapopan"
"U H EL ZALATE","JOSE FERNANDEZ",1123,44760,"Guadalajara"
"REAL DE TESISTAN","PASEO DE LA ARB",176,45200,"zapopan"
"VALLE REAL","PASEO SAN ARTUR",685,45019,"zapopan"
"BARRANQUITAS","PINO SUAREZ",879,44270,"Guadalajara"
"ZALATE II","OTILIO GONZALEZ",1116,44760,"Guadalajara"
"PANORAMICA HUENTITAN","CALZADA",4500,44259,"Guadalajara"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"LOS ROBLES","CALLE LOS ROBLE",395,45134,"zapopan"
"ARANDAS","HACIENDA DEL CO",3363,44720,"Guadalajara"
"VALENTIN GOMEZ FARIA","CANUTO ELIAS",3414,44977,"Guadalajara"
"LOS ALMENDROS","ANTONIO GARCIA",3912,44240,"Guadalajara"
"HELIODORO HERNANDEZ","MIGUEL SANCHEZ",3789,44720,"Guadalajara"
"MESA COLORADA PTE","DELLI",1825,45189,"zapopan"
"EL COLLY URBANO I","VOLCAN VESUBIO",2321,45070,"zapopan"
"AGRICOLA","DALIA",138,45236,"zapopan"
"ARENALES TAPATIOS","AV GUADALUPE",132,45066,"zapopan"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"OBLATOS PONIENTE","HACIENDA DE LAS",2299,44700,"Guadalajara"
"TALPITA","SANTO TOMAS",1786,44719,"Guadalajara"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"LOMAS DE MIRAMAR","URANIO",31,45060,"zapopan"
"VALLE DE LOS MOLINOS","BERNA",75,45200,"zapopan"
"REAL DE VALDEPE?S","RINCONADA DEL C",1327,45130,"zapopan"
"LA ESTRADA","HIDALAGO",6,45200,"zapopan"
"GARIBAY","DAMASCO",785,44750,"Guadalajara"
"U. H. BENITO JUAREZ II","CREDITO",4049,44770,"Guadalajara"
"EL CENTRO","JUAREZ",400,44100,"Guadalajara"
"ARENALES TAPATIOS","DIAMANTE",114,45066,"zapopan"
"VILLAS DE GADALUPE","AV PATRIA",4177,44720,"Guadalajara"
"TETLAN","GIGANTES",108,44820,"Guadalajara"
"FRACC REAL DEL BOSQUE","CALLE CAMPO REA",371,45130,"zapopan"
"U H EL SAUZ INF","JAIME TORRES B",3090,44987,"Guadalajara"
"U H LAZARO CARDENAS","OTHON BLANCO CA",4087,44490,"Guadalajara"
"NUEVO MEXICO","6 DE ENERO",3239,45138,"zapopan"
"HERMOSA PROVIN ZO TE","TELEFONISTAS",3331,44770,"Guadalajara"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"GENERAL REAL","MARCONI",17,44400,"Guadalajara"
"BENITO JUAREZ","JUAN MANUEL RUV",1992,45199,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3205,45085,"zapopan"
"5 DE MAYO","RAMON MARQUEZ",362,44970,"Guadalajara"
"COLLY SITIO","ROMANA",6570,45036,"zapopan"
"COPALITA","AV AMARANTO",175,45200,"zapopan"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"RNDA DE PAZ","ALBANILES",543,44860,"Guadalajara"
"LA MARTINICA","PASEO DE LOS AL",79,45185,"zapopan"
"REAL DE VALDEPE?S","ALAMBIQUE",51,45130,"zapopan"
"VICTOR HUGO","PRIVADA COLON",150,45190,"zapopan"
"HUENTITAN EL BAJO","VOLCAN VIRGEN",182,44250,"Guadalajara"
"LA LOMA","LUIS PAEZ BROTC",1574,44410,"Guadalajara"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"COLINAS DE ATEMAJAC","AV AURELIO ORTE",1176,45170,"zapopan"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"JARDINES DEL NILO","MANUEL RIVERA C",2818,44860,"Guadalajara"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",26,45116,"zapopan"
"AMERICANA","MEXICALLTZINGO",1944,44160,"Guadalajara"
"VISTA HERMOSA","VISTA BONITA",739,45189,"zapopan"
"LADRON DE GUEVARA","AVENIDA AMERICA",620,44600,"Guadalajara"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"HDA SAN ISIDRO","LA VILLA",455,45147,"zapopan"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"PASEOS DEL SOL","TOMAS BALCAZAR",5404,45079,"zapopan"
"JARDINES DE LA PAZ","TEJEDORES",569,44860,"Guadalajara"
"LOMAS DE POLANCO","RAMON ALCORTA",1597,44960,"Guadalajara"
"FRACC, LOS MOLINOS","CTO OBSIDIANA",39,45200,"zapopan"
"FRACC CUSPIDE","CAMINO AL POTRE",1200,45200,"zapopan"
"EL MIRADOR","EMILIANO ZAPATA",780,44370,"Guadalajara"
"LA PALMITA","MANUEL GONZALEZ",518,45180,"zapopan"
"BLANCO Y CUELLAR","EMILIO RABAZA",2132,44730,"Guadalajara"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"HDA SAN ISIDRO","EJIDO",570,45147,"zapopan"
"FRACC HACIENDA LAS PALOMAS","CALLE DEL AGUA",365,45200,"zapopan"
"JARDINES DE LA CRUZ","REYES CATOLICOS",2151,44950,"Guadalajara"
"MIRAMAR","BAHIA MAGDALENA",5,45060,"zapopan"
"VALLE REAL","AV RAMON CORONA",2748,45019,"zapopan"
"JARDINES D NVO MEXIC","SEXTA PTE",535,45138,"zapopan"
"PARAISOS DEL COLLY","GALEANA",1068,45069,"zapopan"
"ARENALES TAPATIOS","CROMITA",69,45066,"zapopan"
"LINDAVISTA","ALLENDE",216,45169,"zapopan"
"HIGUERILLAS","MARIANO RODRIGU",2669,44470,"Guadalajara"
"OBLATOS","BATALLA DE IZUC",2508,44700,"Guadalajara"
"LA FLORESTA DEL COLLI","BOULEVARD PUERT",5430,45116,"zapopan"
"INF LA TUZANIA","AND OYAMELES",1124,45138,"zapopan"
"FRACC LOS PINOS","AV  COMPOSITORE",3850,45120,"zapopan"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
"MARAVILLA","HACIENDA DE GUA",1124,44700,"Guadalajara"
"EL MANANTIAL S REFOR","AVDE LA PATRIA",202,44470,"Guadalajara"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"LOMAS DEL CENTINELA","PASEO DEL OLMO",328,45187,"zapopan"
"DIVISION DEL NORTE","TERUEL",3693,44230,"Guadalajara"
