"colonia","calle","No.Casa","C.P.","Ciudad"
"OBREROS D L CONSTRUC","ABEDUL",274,44900,"Guadalajara"
"REAL DE VALDEPE?S","RINCONADA DEL C",1327,45130,"zapopan"
"REAL DE TESISTAN","PRIVADA EMILIAN",28,45200,"zapopan"
"BALCONES DE OBLATOS","HACIENDA DEL CA",2275,44720,"Guadalajara"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"MIRAVALLE","MAURICIO CAMPOS",512,44990,"Guadalajara"
"VIRREYES RESIDENCIAL","AV NACIONES UNI",6904,45110,"zapopan"
"U H ATLAS","RIO VOLGA",1386,44870,"Guadalajara"
"LOMAS DE POLANCO","RAMON ALCORTA",1597,44960,"Guadalajara"
"ECHEVERRIA","JOSE ARTEAGA",2985,44970,"Guadalajara"
"BENITO JUAREZ","JUAN MANUEL RUV",1992,45199,"Guadalajara"
"ARENALES TAPATIOS","DIAMANTE",114,45066,"zapopan"
"LA PERLA","PEDRO LANDAZURI",733,44360,"Guadalajara"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"BARRIO ANALCO","ABASOLO",147,44450,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"MESA COLORADA PTE","NABO",543,45189,"zapopan"
"IXTLAHUACAN DEL RIO","HDA SAN MIGUEL",10,45260,"zapopan"
"FRACC LOS PINOS","AV  COMPOSITORE",3850,45120,"zapopan"
"VILLA FONTANA DIAMANTE","AV JADE",86,45200,"zapopan"
"VILLAS DE GADALUPE","AV PATRIA",4177,44720,"Guadalajara"
"PRADOS TEPEYAC","PRADO DE LAS GA",4468,45050,"zapopan"
"EL BRISE?","PASEO DE LA MAT",200,45236,"zapopan"
"LAS AGUILAS","RIO TOMATLAN",800,45080,"zapopan"
"REAL DE TESISTAN","PASEO DE LA ARB",176,45200,"zapopan"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"MIRAVALLE II","HERMENEGILDO BU",4308,44990,"Guadalajara"
"RESIDENCIAL AZALEAS","SERVIDOR PUBLIC",1425,45230,"zapopan"
"LA CAMPESINA","JOSE MARIA SARM",1488,44769,"Guadalajara"
"CIUDAD GRANJA","CALZ DE LOS LA",164,45010,"zapopan"
"ARANDAS","HACIENDA LA ERR",1877,44720,"Guadalajara"
"HUENTITAN EL BAJO","VOLCAN VIRGEN",182,44250,"Guadalajara"
