"colonia","calle","No.Casa","C.P.","Ciudad"
"DIVISION DEL NORTE","TERUEL",3693,44230,"Guadalajara"
"VILLA DE GUADALUPE II","PABLO HIPOLITO",45,45189,"zapopan"
"MESA DE LOS OCOTES","PASEO DE LOS PI",3153,45189,"zapopan"
"VILLA FONTANA DIAMANTE","AV JADE",86,45200,"zapopan"
"ARENALES TAPATIOS","CROMITA",69,45066,"zapopan"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"MIRAVALLE","MAURICIO CAMPOS",512,44990,"Guadalajara"
"TIERRA RESIDENCIAL","SAN MATEO",2010,45200,"zapopan"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"LA LOMA","LUIS PAEZ BROTC",1574,44410,"Guadalajara"
"VALENTIN GOMEZ FARIA","CANUTO ELIAS",3414,44977,"Guadalajara"
"LA MARTINICA","PASEO DE LOS AL",79,45185,"zapopan"
"RESIDENCIAL LA CRUZ","ISLA ABACO",3086,44950,"Guadalajara"
"U H ATLAS","RIO VOLGA",1386,44870,"Guadalajara"
"TALPITA","SANTO TOMAS",1786,44719,"Guadalajara"
"AGRICOLA","DALIA",138,45236,"zapopan"
"INF LA TUZANIA","AV DE LAS PALME",1246,45138,"zapopan"
"CANTARRANAS","MIGUEL BERNAL",3327,44829,"Guadalajara"
"VALLARTA SAN JORGE","TUCIDIDES",156,44690,"Guadalajara"
"MORELOS","PELICANO",1272,44910,"Guadalajara"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"TETLAN","GIGANTES",108,44820,"Guadalajara"
"ARTESANOS","GENERAL EULOGIO",712,44200,"Guadalajara"
"LA HACIENDITA","SAN MARTIN",2341,45230,"zapopan"
"FRACC CUSPIDE","SAN MATEO 1155",27,45200,"zapopan"
"RINCONADA DE HUENTITAN","JUAN CARRASCO",5234,44250,"Guadalajara"
"U. H. BENITO JUAREZ II","CREDITO",4049,44770,"Guadalajara"
"REAL DE TESISTAN","PASEO DE LA ARB",176,45200,"zapopan"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"FRACC HACIENDA LAS PALOMAS","CALLE DEL AGUA",365,45200,"zapopan"
"LA FLORIDA","FLORAL",15,45234,"zapopan"
"LA CAMPESINA","JOSE MARIA SARM",1488,44769,"Guadalajara"
"VALLE REAL","PASEO SAN ARTUR",685,45019,"zapopan"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"OBREROS D L CONSTRUC","ABEDUL",274,44900,"Guadalajara"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"PROGRESO","FRANCISCO SARAB",235,44730,"Guadalajara"
