"colonia","calle","No.Casa","C.P.","Ciudad"
"ARENALES TAPATIOS","DIAMANTE",114,45066,"zapopan"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"JARDINES DE LA CRUZ","REYES CATOLICOS",2151,44950,"Guadalajara"
"LOMAS DEL CENTINELA","PASEO DEL OLMO",328,45187,"zapopan"
"VISTA HERMOSA","VISTA BONITA",739,45189,"zapopan"
"LA LOMA","LUIS PAEZ BROTC",1574,44410,"Guadalajara"
"RNDA DE PAZ","ALBANILES",543,44860,"Guadalajara"
"VILLA FONTANA DIAMANTE","FUENTE GRAFITO",8884,45200,"zapopan"
"LOMAS DE RIO VERDE","DEMOSTENES",3550,44720,"Guadalajara"
"SAN ANDRES","AVELINO M PRESA",3335,44810,"Guadalajara"
"SAN JUAN BOSCO","FELIX BERNARDEL",428,44730,"Guadalajara"
"12 DE DICIEMBRE","TRUENO",260,45068,"zapopan"
"U. H. BENITO JUAREZ II","CREDITO",4049,44770,"Guadalajara"
"SAN ISIDRO EJIDAL","NUEVO MEXICO",250,45147,"zapopan"
"COPALITA","AV AMARANTO",175,45200,"zapopan"
"RESIDENCIAL TESISTAN","PARQUE MEXICANO",150,45200,"zapopan"
"COLINAS DE ATEMAJAC","AV AURELIO ORTE",1176,45170,"zapopan"
"OBLATOS","BATALLA DE IZUC",2508,44700,"Guadalajara"
"SAN JUAN DE OCOTAN","MIGUEL MIRAMON",13,45019,"zapopan"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"LOMAS DEL GALLO","FERNANDO SOLIS",1338,44760,"Guadalajara"
"EL CENTINELA 2","HIDALGO",310,45187,"zapopan"
"HOGARES D NVO MEXICO","AV AVIACION",36,45138,"zapopan"
"MESA COLORADA PTE","ANAHUAC",52,45189,"zapopan"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"CONDOMINIO MALAGA","AV CENTRAL",1351,45117,"zapopan"
"MIGUEL HIDALGO","15 DE SEPTIEMBR",3017,45186,"zapopan"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"MESA COLORADA PTE","DELLI",1825,45189,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"PARQUE REVOLUCION","AV MIGUEL HIDAL",469,44100,"Guadalajara"
