"colonia","calle","No.Casa","C.P.","Ciudad"
"CONDOMINIO MALAGA","AV CENTRAL",1351,45117,"zapopan"
"LADRON DE GUEVARA","FRAY LUIS DE PA",443,44600,"Guadalajara"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"BOSQUES D LA CANTERA","PRIV OPALO",17,44306,"Guadalajara"
"EL CENTRO","JUAREZ",400,44100,"Guadalajara"
"MARAVILLA","HACIENDA DE GUA",1124,44700,"Guadalajara"
"REAL DE TESISTAN","PRIVADA EMILIAN",28,45200,"zapopan"
"VALLARTA SAN JORGE","EUCLIDES",3302,44690,"Guadalajara"
"VILLAS SAN IGNACIO","PRIV LUIS G MON",337,45180,"zapopan"
"MIRAVALLE II","HERMENEGILDO BU",4308,44990,"Guadalajara"
"VILLA VICENTE GUERRE","ISLA USTICA",3318,44860,"Guadalajara"
"JARDINES DE LA CRUZ","ISLA MADAGASCAR",3111,44950,"Guadalajara"
"LOMAS DL PARAISO 1","RAFAEL CARDENAS",290,44250,"Guadalajara"
"COLINAS DE ATEMAJAC","AV AURELIO ORTE",1176,45170,"zapopan"
"HELIODORO HERNANDEZ","CELIA PACHECO",3713,44720,"Guadalajara"
"EL COLLY URBANO I","MELCHOR OCAMPO",1233,45070,"zapopan"
"EL FORTIN","ALAMO",1359,45066,"zapopan"
"OBLATOS PONIENTE","JUAN PABLO II",3165,44700,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA DE TAL",2191,44700,"Guadalajara"
"BALCONES DE OBLATOS","ROSA RODRIGUEZ",3876,44720,"Guadalajara"
"REAL DE VALDEPE?S","RINCONADA DEL C",1327,45130,"zapopan"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"LA MARTINICA","PASEO DE LOS AL",79,45185,"zapopan"
"GUADALUPANA","CELEDONIO PADIL",2162,44220,"Guadalajara"
"VILLA FONTANA DIAMANTE","AV JADE",86,45200,"zapopan"
"INDIGENA D MEZQUITAN","18 DE MARZO",409,45190,"zapopan"
"OBLATOS PONIENTE","HDA LAS CRUCES",2158,44700,"Guadalajara"
"LA AURORA","SALVADOR LOPEZ",1750,44790,"Guadalajara"
"NUEVO MEXICO","COPALITA",2711,45138,"zapopan"
"VICENTE GUERRERO","C CEDROS",15,45134,"zapopan"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"REAL DE VALDEPE?S","ALAMBIQUE",51,45130,"zapopan"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"TABACHINES","PASEO DE LOS AV",3101,45188,"zapopan"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"VALENTIN GOMEZ FARIA","CANUTO ELIAS",3414,44977,"Guadalajara"
"LOS ALMENDROS","ANTONIO GARCIA",3912,44240,"Guadalajara"
"BENITO JUAREZ","JUAN MANUEL RUV",1992,45199,"Guadalajara"
"LA FLORIDA","FLORAL",15,45234,"zapopan"
"LOMAS DEL CENTINELA","PASEO DEL OLMO",328,45187,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"INF LA TUZANIA","CAPULINES",40,45138,"zapopan"
"RINCONADA DL AUDITOR","ALBERTO CINTA",39,45180,"zapopan"
"CIRCUNVAL VALLARTA","REFORMA",2749,44680,"Guadalajara"
"LA AURORA","JARDINES DE BAB",20,44790,"Guadalajara"
"LAGOS D OTE ZONA TET","LICURGO",336,44770,"Guadalajara"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"BEATRIZ HERNANDEZ","MARGARITA GUTIE",3497,44760,"Guadalajara"
"POLANQUITO","MIGUEL MACIAS",3653,44969,"Guadalajara"
"FRACC REAL DEL BOSQUE","BERROCAL",449,45130,"zapopan"
"JARDINES DE LA CRUZ","ISLA ASENCION",3108,44950,"Guadalajara"
"SANTA ANA TEPETITLAN","HIDALGO",35,45230,"zapopan"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"UNIDAD BELISARIO DOM","JOSE LUIS MORA",1212,44329,"Guadalajara"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"AMERICANA","COLONIAS",221,44160,"Guadalajara"
"ALTAMIRA","AV AMERICA",580,45160,"zapopan"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"COUNTRY CLUB","AV JORGE ALVARE",1535,44610,"Guadalajara"
"SAN MARCOS","CANTERA",819,44330,"Guadalajara"
"EL ARENAL","CUAUHTEMOC",132,45350,"zapopan"
"FRACC CUSPIDE","SENDA DEL OCOTE",22,45200,"zapopan"
"DIVISION DEL NORTE","SILVINA REMBOA",3050,44230,"Guadalajara"
"LOMAS DEL GALLO","FERNANDO SOLIS",1338,44760,"Guadalajara"
"UNIDAD JARDINES SEAT","JARDINES DE LOS",1233,45180,"zapopan"
"ZALATE II","OTILIO GONZALEZ",1116,44760,"Guadalajara"
"VIGIA I","HERRADURA",242,45140,"zapopan"
"HUENTITAN EL BAJO","VOLCAN VIRGEN",182,44250,"Guadalajara"
"LA CAMPESINA","JOSE MARIA SARM",1488,44769,"Guadalajara"
