"colonia","calle","No.Casa","C.P.","Ciudad"
"INF LA TUZANIA","CAPULINES",40,45138,"zapopan"
"NUEVO MEXICO","6 DE ENERO",3239,45138,"zapopan"
"TABACHINES","PASEO DE LOS CH",3040,45188,"zapopan"
"BOSQUES D L VICTORIA","PENINSULA",2713,44540,"Guadalajara"
"OBLATOS","BATALLA DE IZUC",2508,44700,"Guadalajara"
"ECHEVERRIA","JOSE ARTEAGA",2985,44970,"Guadalajara"
"UNIDAD MEXICO","CDA QUERETARO",278,45120,"zapopan"
"FRACC CUSPIDE","SAN MATEO 1155",27,45200,"zapopan"
"AYUNTAMIENTO","BERNARDO DE BAL",1170,44620,"Guadalajara"
"INDIGENA D MEZQUITAN","18 DE MARZO",409,45190,"zapopan"
"VICTOR HUGO","PRIVADA COLON",150,45190,"zapopan"
"JARDINES DE LA PAZ","TEJEDORES",569,44860,"Guadalajara"
"SAN JUAN BOSCO","FELIX BERNARDEL",428,44730,"Guadalajara"
"MIRAVALLE II","PEDRO PATINO",643,44990,"Guadalajara"
"VISTA HERMOSA","VISTA BONITA",739,45189,"zapopan"
"BEATRIZ HERNANDEZ","GAZA",1333,44760,"Guadalajara"
"VISTA HERMOSA","AV VISTA HERMO",3763,45189,"zapopan"
"JARDINES  DEL BOSQUE","PLACERES",806,44520,"zapopan"
"OBLATOS PONIENTE","HACIENDA LA PUR",2415,44700,"Guadalajara"
"JARDINES DEL VERGEL","JARDIN DE NARDO",1527,45180,"zapopan"
"EL ZAPOTE","TEZOZOMOC",4357,45050,"zapopan"
"ZALATE II","OTILIO GONZALEZ",1116,44760,"Guadalajara"
"UNIDAD JARDINES SEAT","JARDINES DE LOS",1233,45180,"zapopan"
"COUNTRY CLUB","AV JORGE ALVARE",1535,44610,"Guadalajara"
"TALPITA","SANTO TOMAS",1786,44719,"Guadalajara"
"ARTESANOS","INDEPENDENCIA",919,44200,"Guadalajara"
"FRACC CUSPIDE","CAMINO AL POTRE",1200,45200,"zapopan"
"FRACC MIRADOR D SN I","AV INDUSTRIA TE",2030,45133,"zapopan"
"OBLATOS PONIENTE","HACIENDA LA GAV",3208,44700,"Guadalajara"
"POLANQUITO","MIGUEL MACIAS",3653,44969,"Guadalajara"
"RESIDENC LA ESTANCIA","WOLFANG AMADEUS",5552,45030,"zapopan"
"LOMAS DE POLANCO","JOSE CARRILLO",3528,44960,"Guadalajara"
"EL ARENAL","PROLONGACION SA",43,45350,"zapopan"
"SAN ANDRES","CALLE B",165,44810,"Guadalajara"
"RESID LAS ARBOLEDAS","AURORA BOREAL N",4170,45070,"zapopan"
"HERMOSA PROVIN ZO TE","TELEFONISTAS",3331,44770,"Guadalajara"
"JARDINES DE LA CRUZ","REYES CATOLICOS",2151,44950,"Guadalajara"
"RINCONADA DE HUENTITAN","JUAN CARRASCO",5234,44250,"Guadalajara"
"COPALITA","AV AMARANTO",175,45200,"zapopan"
"LOMAS DE MIRAMAR","PUERTO TAMPICO",80,45060,"zapopan"
