"colonia","calle","No.Casa","C.P.","Ciudad"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"TALPITA","SANTO TOMAS",1786,44719,"Guadalajara"
"LADRON DE GUEVARA","AVENIDA AMERICA",620,44600,"Guadalajara"
"RESIDENC LA ESTANCIA","WOLFANG AMADEUS",5552,45030,"zapopan"
"SAN ANDRES","CALLE B",165,44810,"Guadalajara"
"PASEOS DEL SOL","TOMAS BALCAZAR",5404,45079,"zapopan"
"TRANSITO","AV CIRCUNVALANC",479,44298,"Guadalajara"
"HIGUERILLAS","MARIANO RODRIGU",2669,44470,"Guadalajara"
"U H FOVISSSTE ESTADI","LISBOA",28,44307,"Guadalajara"
"GUADALUPANA","CELEDONIO PADIL",2162,44220,"Guadalajara"
"AMERICANA","MEXICALLTZINGO",1944,44160,"Guadalajara"
"TETLAN","AURELIA GUEVARA",3518,44820,"Guadalajara"
"RINCONADA DE HUENTITAN","JUAN CARRASCO",5234,44250,"Guadalajara"
"SAN RAFAEL","CARLOS GONZALEZ",280,44810,"Guadalajara"
"MEZQUITAN COUNTRY","DIAGONAL NAJERA",1876,44260,"Guadalajara"
"OBLATOS PONIENTE","HACIENDA LA PUR",2415,44700,"Guadalajara"
"INDEPENDENCIA PTE","ROGELIO BACON",1676,44290,"Guadalajara"
"EJIDAL LOMA BONITA","PEDRO MORENO",3205,45085,"zapopan"
"INDEPENDENCIA","ROGELIO BACON",2280,44290,"Guadalajara"
"INDIGENA D MEZQUITAN","18 DE MARZO",409,45190,"zapopan"
"LA VENTA DEL ASTILLE","JILGEROS",33,45221,"zapopan"
"CIRCUNVAL VALLARTA","REFORMA",2749,44680,"Guadalajara"
"ECHEVERRIA","JOSE ROJO",958,44970,"Guadalajara"
"EL HUMEDO","RIO ACAPONETA",2,45200,"zapopan"
"SANTA ROSA","MELQUIADES CAMP",2289,44700,"Guadalajara"
"COLLY SITIO","ROMANA",6570,45036,"zapopan"
"CANTEROS","PRIVADA CANTERO",1564,45190,"zapopan"
"LAGOS D OTE ZONA TET","LICURGO",336,44770,"Guadalajara"
"COPALITA","AV AMARANTO",175,45200,"zapopan"
"MODERNA","AV ESPANA",1092,44190,"Guadalajara"
"HELIODORO HERNANDEZ","MIGUEL SANCHEZ",3789,44720,"Guadalajara"
"VILLA UNIVESITARIA","AV PATRIA",1446,45110,"zapopan"
"MIGUEL HIDALGO","15 DE SEPTIEMBR",3017,45186,"zapopan"
"JARDINES DE LA CRUZ","REYES CATOLICOS",2151,44950,"Guadalajara"
"EL BRISE?","PASEO DE LA MAT",200,45236,"zapopan"
"BARRANQUITAS","PINO SUAREZ",879,44270,"Guadalajara"
"TABACHINES","PASEO DE LOS CH",3040,45188,"zapopan"
"RESIDENCIAL LA CRUZ","ISLA ABACO",3086,44950,"Guadalajara"
"CIUDAD DEL SOL","QUETZALCOATL",232,45050,"zapopan"
"LOMAS DE MIRAMAR","PUERTO CHAMELA",314,45060,"zapopan"
"BENITO JUAREZ","ADOLFO LOPEZ MA",4754,45199,"zapopan"
"PARQUE INDUST EL ALA","FUNDICION",2131,44490,"Guadalajara"
"OBLATOS PONIENTE","JUAN PABLO II",3165,44700,"Guadalajara"
"VILLA FONTANA DIAMANTE","ARENISCA",1896,45200,"zapopan"
"AGRICOLA","DALIA",138,45236,"zapopan"
"HUENTITAN EL BAJO","VOLCAN MAIPO",340,44250,"Guadalajara"
"SAN ISIDRO EJIDAL","NUEVO MEXICO",250,45147,"zapopan"
"LOS ROBLES","CALLE LOS ROBLE",395,45134,"zapopan"
"LA CAMPESINA","JOSE MARIA SARM",1488,44769,"Guadalajara"
"EL CARMEN","FRANCISCO MARCO",2616,44980,"Guadalajara"
"TETLAN","JOSE RAMOS",4342,44820,"Guadalajara"
"ECHEVERRIA","JOSE ARTEAGA",2985,44970,"Guadalajara"
"INF LA TUZANIA","AV DE LAS PALME",1246,45138,"zapopan"
"EL MIRADOR","EMILIANO ZAPATA",780,44370,"Guadalajara"
"VILLA FONTANA DIAMANTE","AV JADE",86,45200,"zapopan"
"5 DE MAYO","RAMON MARQUEZ",362,44970,"Guadalajara"
"VALLE DE LOS MOLINOS","BERNA",75,45200,"zapopan"
"18 DE MARZO","NATIVIDAD MACIA",1326,44960,"Guadalajara"
"REVOLUCION SEGUNDA SECCION","REVOLUCION",51,45200,"zapopan"
"PARQUES DE ZAPOPAN","OPALO",14,45138,"zapopan"
"JARDINES DEL NILO","HERNANDO ALVARA",3254,44860,"Guadalajara"
"DEL FRESNO","CIPRES",1738,44900,"Guadalajara"
"JARDINES DE LA CRUZ","AV ISALA RAZA",2460,44950,"Guadalajara"
"NUEVO MEXICO","6 DE ENERO",3239,45138,"zapopan"
"LA ESPERANZA","IGUALDAD",186,44300,"Guadalajara"
"HDA SAN ISIDRO","LA VILLA",455,45147,"zapopan"
